#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.254800910432425E+00  -.133530913477227E-11  0.392463275858352E+01  -.205674224800421E-10
     0.500000000000000E-01  0.254792163151485E+00  0.954656210152499E-04  0.392476694434318E+01  0.147053311627596E-02
     0.100000000000000E+00  0.254765918985005E+00  0.190956837924667E-03  0.392516959166492E+01  0.294206531442107E-02
     0.150000000000000E+00  0.254722170959298E+00  0.286499274168287E-03  0.392584097084467E+01  0.441559752891258E-02
     0.200000000000000E+00  0.254660907442575E+00  0.382118615045835E-03  0.392678153293402E+01  0.589213450945808E-02
     0.250000000000000E+00  0.254582112131452E+00  0.477840636873833E-03  0.392799191057988E+01  0.737268671577992E-02
     0.300000000000000E+00  0.254485764031996E+00  0.573691237755740E-03  0.392947291920462E+01  0.885827225472121E-02
     0.350000000000000E+00  0.254371837435264E+00  0.669696468724877E-03  0.393122555853059E+01  0.103499188465741E-01
     0.400000000000000E+00  0.254240301887267E+00  0.765882565357264E-03  0.393325101445492E+01  0.118486658282861E-01
     0.450000000000000E+00  0.254091122153243E+00  0.862275979954305E-03  0.393555066128195E+01  0.133555662014435E-01
     0.500000000000000E+00  0.253924258176166E+00  0.958903414398457E-03  0.393812606432085E+01  0.148716887332164E-01
     0.550000000000000E+00  0.253739665029342E+00  0.105579185378897E-02  0.394097898285917E+01  0.163981201188041E-01
     0.600000000000000E+00  0.253537292862948E+00  0.115296860096947E-02  0.394411137352296E+01  0.179359672143250E-01
     0.650000000000000E+00  0.253317086844373E+00  0.125046131206428E-02  0.394752539403654E+01  0.194863593495633E-01
     0.700000000000000E+00  0.253078987092140E+00  0.134829803314648E-02  0.395122340739660E+01  0.210504507305286E-01
     0.750000000000000E+00  0.252822928603232E+00  0.144650723816782E-02  0.395520798647665E+01  0.226294229423958E-01
     0.800000000000000E+00  0.252548841173589E+00  0.154511786828774E-02  0.395948191907994E+01  0.242244875640809E-01
     0.850000000000000E+00  0.252256649311501E+00  0.164415937274815E-02  0.396404821346111E+01  0.258368889065017E-01
     0.900000000000000E+00  0.251946272143653E+00  0.174366175144986E-02  0.396891010433852E+01  0.274679068874339E-01
     0.950000000000000E+00  0.251617623313472E+00  0.184365559939761E-02  0.397407105942196E+01  0.291188600568702E-01
     0.100000000000000E+01  0.251270610871491E+00  0.194417215319277E-02  0.397953478648219E+01  0.307911087878778E-01
     0.105000000000000E+01  0.250905137157313E+00  0.204524333976631E-02  0.398530524099223E+01  0.324860586491885E-01
     0.110000000000000E+01  0.250521098672815E+00  0.214690182755959E-02  0.399138663437233E+01  0.342051639771160E-01
     0.115000000000000E+01  0.250118385946116E+00  0.224918108037732E-02  0.399778344287442E+01  0.359499316659432E-01
     0.120000000000000E+01  0.249696883385877E+00  0.235211541415567E-02  0.400450041714396E+01  0.377219251976049E-01
     0.125000000000000E+01  0.249256469125365E+00  0.245574005690901E-02  0.401154259250244E+01  0.395227689334318E-01
     0.130000000000000E+01  0.248797014855762E+00  0.256009121214199E-02  0.401891529999581E+01  0.413541526928171E-01
     0.135000000000000E+01  0.248318385648071E+00  0.266520612603925E-02  0.402662417826001E+01  0.432178366460789E-01
     0.140000000000000E+01  0.247820439762961E+00  0.277112315877317E-02  0.403467518625858E+01  0.451156565514240E-01
     0.145000000000000E+01  0.247303028447836E+00  0.287788186030258E-02  0.404307461695236E+01  0.470495293689106E-01
     0.150000000000000E+01  0.246765995720304E+00  0.298552305106985E-02  0.405182911196800E+01  0.490214592876381E-01
     0.155000000000000E+01  0.246209178137223E+00  0.309408890804432E-02  0.406094567733652E+01  0.510335442061159E-01
     0.160000000000000E+01  0.245632404548356E+00  0.320362305660309E-02  0.407043170038151E+01  0.530879827099653E-01
     0.165000000000000E+01  0.245035495833612E+00  0.331417066879073E-02  0.408029496784331E+01  0.551870815958157E-01
     0.170000000000000E+01  0.244418264622777E+00  0.342577856855394E-02  0.409054368533377E+01  0.573332639955426E-01
     0.175000000000000E+01  0.243780514996494E+00  0.353849534460964E-02  0.410118649822542E+01  0.595290781609649E-01
     0.180000000000000E+01  0.243122042167179E+00  0.365237147167470E-02  0.411223251408922E+01  0.617772069758477E-01
     0.185000000000000E+01  0.242442632138402E+00  0.376745944086361E-02  0.412369132680609E+01  0.640804782696555E-01
     0.190000000000000E+01  0.241742061341164E+00  0.388381390014882E-02  0.413557304248956E+01  0.664418760160819E-01
     0.195000000000000E+01  0.241020096245312E+00  0.400149180587800E-02  0.414788830737124E+01  0.688645525091396E-01
     0.200000000000000E+01  0.240276492944192E+00  0.412055258645460E-02  0.416064833781580E+01  0.713518416206323E-01
     0.205000000000000E+01  0.239510996710454E+00  0.424105831941583E-02  0.417386495264942E+01  0.739072732553968E-01
     0.210000000000000E+01  0.238723341520701E+00  0.436307392328569E-02  0.418755060800467E+01  0.765345891350133E-01
     0.215000000000000E+01  0.237913249546462E+00  0.448666736574469E-02  0.420171843490623E+01  0.792377600569912E-01
     0.220000000000000E+01  0.237080430608710E+00  0.461190988984441E-02  0.421638227984595E+01  0.820210047951207E-01
     0.225000000000000E+01  0.236224581592876E+00  0.473887626020642E-02  0.423155674862144E+01  0.848888108279886E-01
     0.230000000000000E+01  0.235345385820945E+00  0.486764503138850E-02  0.424725725374473E+01  0.878459571072645E-01
     0.235000000000000E+01  0.234442512376948E+00  0.499829884087730E-02  0.426350006575827E+01  0.908975391054341E-01
     0.240000000000000E+01  0.233515615381685E+00  0.513092472948537E-02  0.428030236883637E+01  0.940489964152515E-01
     0.245000000000000E+01  0.232564333212120E+00  0.526561449229547E-02  0.429768232109132E+01  0.973061432106180E-01
     0.250000000000000E+01  0.231588287660380E+00  0.540246506371585E-02  0.431565912005238E+01  0.100675201922046E+00
     0.255000000000000E+01  0.230587083026712E+00  0.554157894069602E-02  0.433425307384083E+01  0.104162840530235E+00
     0.260000000000000E+01  0.229560305140130E+00  0.568306464871456E-02  0.435348567862606E+01  0.107776213939872E+00
     0.265000000000000E+01  0.228507520299778E+00  0.582703725580225E-02  0.437337970301817E+01  0.111523009964066E+00
     0.270000000000000E+01  0.227428274129181E+00  0.597361894062215E-02  0.439395928013267E+01  0.115411500529675E+00
     0.275000000000000E+01  0.226322090334709E+00  0.612293962151174E-02  0.441525000815397E+01  0.119450598807323E+00
     0.280000000000000E+01  0.225188469358459E+00  0.627513765442600E-02  0.443727906032848E+01  0.123649923079942E+00
     0.285000000000000E+01  0.224026886914630E+00  0.643036060893117E-02  0.446007530543655E+01  0.128019868293197E+00
     0.290000000000000E+01  0.222836792397098E+00  0.658876613282342E-02  0.448366943992859E+01  0.132571686384414E+00
     0.295000000000000E+01  0.221617607144334E+00  0.675052291762699E-02  0.450809413306694E+01  0.137317576668304E+00
     0.300000000000000E+01  0.220368722546094E+00  0.691581177921189E-02  0.453338418659261E+01  0.142270787773761E+00
     0.305000000000000E+01  0.219089497974261E+00  0.708482687013071E-02  0.455957671064242E+01  0.147445732883905E+00
     0.310000000000000E+01  0.217779258517897E+00  0.725777704308183E-02  0.458671131787906E+01  0.152858120340283E+00
     0.315000000000000E+01  0.216437292499960E+00  0.743488738826034E-02  0.461483033806794E+01  0.158525102042981E+00
     0.320000000000000E+01  0.215062848750046E+00  0.761640097138265E-02  0.464397905565071E+01  0.164465442525815E+00
     0.325000000000000E+01  0.213655133603988E+00  0.780258080401250E-02  0.467420597322948E+01  0.170699712127301E+00
     0.330000000000000E+01  0.212213307597174E+00  0.799371208366683E-02  0.470556310429504E+01  0.177250508335986E+00
     0.335000000000000E+01  0.210736481813678E+00  0.819010474827926E-02  0.473810629902092E+01  0.184142710191835E+00
     0.340000000000000E+01  0.209223713847964E+00  0.839209639824427E-02  0.477189560750829E+01  0.191403771609122E+00
     0.345000000000000E+01  0.207674003329670E+00  0.860005564984543E-02  0.480699568551870E+01  0.199064060697102E+00
     0.350000000000000E+01  0.206086286954832E+00  0.881438599687111E-02  0.484347624848533E+01  0.207157253651640E+00
     0.355000000000000E+01  0.204459432958510E+00  0.903553027327488E-02  0.488141258046492E+01  0.215720793650474E+00
     0.360000000000000E+01  0.202792234954381E+00  0.926397582965286E-02  0.492088610569081E+01  0.224796427505468E+00
     0.365000000000000E+01  0.201083405055782E+00  0.950026056114633E-02  0.496198503153524E+01  0.234430835737119E+00
     0.370000000000000E+01  0.199331566180268E+00  0.974497995550621E-02  0.500480507299005E+01  0.244676375408582E+00
     0.375000000000000E+01  0.197535243425511E+00  0.999879536928946E-02  0.504945027023962E+01  0.255591959713094E+00
     0.379999999999999E+01  0.195692854388567E+00  0.102624437898768E-01  0.509603391252008E+01  0.267244104246653E+00
     0.384999999999999E+01  0.193802698282964E+00  0.105367494043834E-01  0.514467958320896E+01  0.279708177514499E+00
     0.390000000000000E+01  0.191862943689349E+00  0.108226373778119E-01  0.519552234290199E+01  0.293069903048033E+00
     0.394999999999999E+01  0.189871614756167E+00  0.111211503476736E-01  0.524871006898488E+01  0.307427173269104E+00
     0.399999999999999E+01  0.187826575648599E+00  0.114334682784773E-01  0.530440497166066E+01  0.322892251909784E+00
     0.404999999999999E+01  0.185725513029425E+00  0.117609324974511E-01  0.536278530714264E+01  0.339594463716110E+00
     0.409999999999999E+01  0.183565916349566E+00  0.121050749669390E-01  0.542404730806367E+01  0.357683499170402E+00
     0.414999999999999E+01  0.181345055736568E+00  0.124676541588101E-01  0.548840734791186E+01  0.377333500593691E+00
     0.419999999999999E+01  0.179059957310430E+00  0.128506993090728E-01  0.555610434849227E+01  0.398748147742059E+00
     0.424999999999999E+01  0.176707375850707E+00  0.132565653842247E-01  0.562740242373358E+01  0.422167030744633E+00
     0.429999999999999E+01  0.174283764925658E+00  0.136880018364923E-01  0.570259372407009E+01  0.447873692659422E+00
     0.434999999999999E+01  0.171785244938387E+00  0.141482392342249E-01  0.578200139385446E+01  0.476205852267552E+00
     0.439999999999999E+01  0.169207570156180E+00  0.146410992230797E-01  0.586598246415983E+01  0.507568492469561E+00
     0.444999999999999E+01  0.166546096852505E+00  0.151711351317140E-01  0.595493034845409E+01  0.542450737205511E+00
     0.449999999999999E+01  0.163795756522541E+00  0.157438130452258E-01  0.604927634389613E+01  0.581447760547455E+00
     0.454999999999999E+01  0.160951041269832E+00  0.163657465170470E-01  0.614948908941164E+01  0.625289397649403E+00
     0.459999999999999E+01  0.158006013826044E+00  0.170450024377760E-01  0.625607016124861E+01  0.674877674382566E+00
