#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.610420720458968E+00  -.106494854672677E-10  0.163821437655018E+01  -.285805176833163E-10
     0.500000000000000E-01  0.610419193150077E+00  0.166471347552441E-04  0.163821847425167E+01  0.446769105647912E-04
     0.100000000000000E+00  0.610414611011955E+00  0.332965948234867E-04  0.163823076804592E+01  0.893614030970930E-04
     0.150000000000000E+00  0.610406973410123E+00  0.499506855307924E-04  0.163825126000269E+01  0.134061006956808E-03
     0.200000000000000E+00  0.610396279286722E+00  0.666117254777406E-04  0.163827995357293E+01  0.178783289194697E-03
     0.250000000000000E+00  0.610382527159911E+00  0.832820372067829E-04  0.163831685359089E+01  0.223535830542394E-03
     0.300000000000000E+00  0.610365715123041E+00  0.999639485242875E-04  0.163836196627700E+01  0.268326230001384E-03
     0.350000000000000E+00  0.610345840843575E+00  0.116659793829543E-03  0.163841529924157E+01  0.313162109456688E-03
     0.400000000000000E+00  0.610322901561769E+00  0.133371915452488E-03  0.163847686148941E+01  0.358051118321513E-03
     0.450000000000000E+00  0.610296894089122E+00  0.150102665001961E-03  0.163854666342519E+01  0.403000938219221E-03
     0.500000000000000E+00  0.610267814806556E+00  0.166854404726292E-03  0.163862471685975E+01  0.448019287709099E-03
     0.550000000000000E+00  0.610235659662374E+00  0.183629508888059E-03  0.163871103501720E+01  0.493113927062439E-03
     0.600000000000000E+00  0.610200424169952E+00  0.200430365154928E-03  0.163880563254293E+01  0.538292663095641E-03
     0.650000000000000E+00  0.610162103405180E+00  0.217259376008462E-03  0.163890852551250E+01  0.583563354067151E-03
     0.700000000000000E+00  0.610120692003649E+00  0.234118960172873E-03  0.163901973144137E+01  0.628933914645170E-03
     0.750000000000000E+00  0.610076184157576E+00  0.251011554065738E-03  0.163913926929563E+01  0.674412320953349E-03
     0.800000000000000E+00  0.610028573612461E+00  0.267939613272734E-03  0.163926715950356E+01  0.720006615701755E-03
     0.850000000000000E+00  0.609977853663478E+00  0.284905614048517E-03  0.163940342396819E+01  0.765724913410680E-03
     0.900000000000000E+00  0.609924017151593E+00  0.301912054845941E-03  0.163954808608079E+01  0.811575405735094E-03
     0.950000000000000E+00  0.609867056459397E+00  0.318961457875868E-03  0.163970117073533E+01  0.857566366897746E-03
     0.100000000000000E+01  0.609806963506661E+00  0.336056370699928E-03  0.163986270434392E+01  0.903706159239304E-03
     0.105000000000000E+01  0.609743729745590E+00  0.353199367858612E-03  0.164003271485333E+01  0.950003238894036E-03
     0.110000000000000E+01  0.609677346155789E+00  0.370393052537257E-03  0.164021123176246E+01  0.996466161600099E-03
     0.115000000000000E+01  0.609607803238919E+00  0.387640058272491E-03  0.164039828614094E+01  0.104310358865362E-02
     0.120000000000000E+01  0.609535091013041E+00  0.404943050701865E-03  0.164059391064876E+01  0.108992429301629E-02
     0.125000000000000E+01  0.609459199006639E+00  0.422304729359528E-03  0.164079813955711E+01  0.113693716558659E-02
     0.130000000000000E+01  0.609380116252315E+00  0.439727829520827E-03  0.164101100877027E+01  0.118415122164497E-02
     0.135000000000000E+01  0.609297831280148E+00  0.457215124098987E-03  0.164123255584873E+01  0.123157560748423E-02
     0.140000000000000E+01  0.609212332110702E+00  0.474769425597032E-03  0.164146282003354E+01  0.127921960723637E-02
     0.145000000000000E+01  0.609123606247678E+00  0.492393588118347E-03  0.164170184227185E+01  0.132709264990799E-02
     0.150000000000000E+01  0.609031640670196E+00  0.510090509439403E-03  0.164194966524383E+01  0.137520431663686E-02
     0.155000000000000E+01  0.608936421824702E+00  0.527863133148333E-03  0.164220633339081E+01  0.142356434818290E-02
     0.160000000000000E+01  0.608837935616475E+00  0.545714450853278E-03  0.164247189294489E+01  0.147218265266733E-02
     0.165000000000000E+01  0.608736167400741E+00  0.563647504464556E-03  0.164274639195992E+01  0.152106931357474E-02
     0.170000000000000E+01  0.608631101973348E+00  0.581665388554971E-03  0.164302988034396E+01  0.157023459803332E-02
     0.175000000000000E+01  0.608522723561035E+00  0.599771252802783E-03  0.164332240989324E+01  0.161968896538948E-02
     0.180000000000000E+01  0.608411015811232E+00  0.617968304522093E-03  0.164362403432773E+01  0.166944307609383E-02
     0.185000000000000E+01  0.608295961781408E+00  0.636259811285696E-03  0.164393480932830E+01  0.171950780091662E-02
     0.190000000000000E+01  0.608177543927926E+00  0.654649103645678E-03  0.164425479257556E+01  0.176989423051152E-02
     0.195000000000000E+01  0.608055744094418E+00  0.673139577957393E-03  0.164458404379056E+01  0.182061368534780E-02
     0.200000000000000E+01  0.607930543499620E+00  0.691734699312713E-03  0.164492262477711E+01  0.187167772603218E-02
     0.205000000000000E+01  0.607801922724689E+00  0.710438004588856E-03  0.164527059946623E+01  0.192309816404274E-02
     0.210000000000000E+01  0.607669861699951E+00  0.729253105619392E-03  0.164562803396236E+01  0.197488707289871E-02
     0.215000000000000E+01  0.607534339691064E+00  0.748183692494472E-03  0.164599499659174E+01  0.202705679979121E-02
     0.220000000000000E+01  0.607395335284590E+00  0.767233536997755E-03  0.164637155795289E+01  0.207961997770178E-02
     0.225000000000000E+01  0.607252826372920E+00  0.786406496187885E-03  0.164675779096930E+01  0.213258953803697E-02
     0.230000000000000E+01  0.607106790138561E+00  0.805706516132977E-03  0.164715377094443E+01  0.218597872380910E-02
     0.235000000000000E+01  0.606957203037721E+00  0.825137635806982E-03  0.164755957561915E+01  0.223980110339518E-02
     0.240000000000000E+01  0.606804040783198E+00  0.844703991157421E-03  0.164797528523167E+01  0.229407058490789E-02
     0.245000000000000E+01  0.606647278326505E+00  0.864409819354617E-03  0.164840098258014E+01  0.234880143121516E-02
     0.250000000000000E+01  0.606486889839235E+00  0.884259463233065E-03  0.164883675308795E+01  0.240400827564629E-02
     0.255000000000000E+01  0.606322848693602E+00  0.904257375936480E-03  0.164928268487193E+01  0.245970613842629E-02
     0.260000000000000E+01  0.606155127442135E+00  0.924408125778647E-03  0.164973886881358E+01  0.251591044388176E-02
     0.265000000000000E+01  0.605983697796484E+00  0.944716401333082E-03  0.165020539863341E+01  0.257263703846527E-02
     0.270000000000000E+01  0.605808530605289E+00  0.965187016765413E-03  0.165068237096858E+01  0.262990220964795E-02
     0.275000000000000E+01  0.605629595831086E+00  0.985824917423245E-03  0.165116988545403E+01  0.268772270573359E-02
     0.280000000000000E+01  0.605446862526179E+00  0.100663518569940E-02  0.165166804480718E+01  0.274611575665132E-02
     0.285000000000000E+01  0.605260298807442E+00  0.102762304718547E-02  0.165217695491648E+01  0.280509909578760E-02
     0.290000000000000E+01  0.605069871830006E+00  0.104879387713371E-02  0.165269672493392E+01  0.286469098292272E-02
     0.295000000000000E+01  0.604875547759754E+00  0.107015320724687E-02  0.165322746737172E+01  0.292491022834198E-02
     0.300000000000000E+01  0.604677291744586E+00  0.109170673281660E-02  0.165376929820344E+01  0.298577621819588E-02
     0.305000000000000E+01  0.604475067884371E+00  0.111346032023281E-02  0.165432233696973E+01  0.304730894119023E-02
     0.310000000000000E+01  0.604268839199537E+00  0.113542001488796E-02  0.165488670688893E+01  0.310952901669192E-02
     0.315000000000000E+01  0.604058567598219E+00  0.115759204950188E-02  0.165546253497276E+01  0.317245772434327E-02
     0.320000000000000E+01  0.603844213841880E+00  0.117998285289497E-02  0.165604995214750E+01  0.323611703528433E-02
     0.325000000000000E+01  0.603625737509348E+00  0.120259905923918E-02  0.165664909338076E+01  0.330052964509038E-02
     0.330000000000000E+01  0.603403096959155E+00  0.122544751781914E-02  0.165726009781432E+01  0.336571900853989E-02
     0.335000000000000E+01  0.603176249290100E+00  0.124853530333752E-02  0.165788310890328E+01  0.343170937633715E-02
