#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.230065672081856E+00  -.159913086099254E-10  0.434658500310383E+01  -.302120614322577E-09
     0.500000000000000E-01  0.230063063573504E+00  0.284150490343671E-04  0.434663421938581E+01  0.536852037697243E-03
     0.100000000000000E+00  0.230055237840744E+00  0.568323837895936E-04  0.434678187881332E+01  0.107382026292912E-02
     0.150000000000000E+00  0.230042194260373E+00  0.852542588991211E-04  0.434702801313835E+01  0.161102032983724E-02
     0.200000000000000E+00  0.230023931793445E+00  0.113682946778460E-03  0.434737267530228E+01  0.214856833642996E-02
     0.250000000000000E+00  0.230000448984874E+00  0.142120722531722E-03  0.434781593946797E+01  0.268658059355685E-02
     0.300000000000000E+00  0.229971743962849E+00  0.170569864852419E-03  0.434835790106504E+01  0.322517369627127E-02
     0.350000000000000E+00  0.229937814438107E+00  0.199032656928227E-03  0.434899867684783E+01  0.376446459554985E-02
     0.400000000000000E+00  0.229898657703039E+00  0.227511387350703E-03  0.434973840496650E+01  0.430457067045972E-02
     0.450000000000000E+00  0.229854270630616E+00  0.256008351030982E-03  0.435057724505132E+01  0.484560980086548E-02
     0.500000000000000E+00  0.229804649673160E+00  0.284525850122483E-03  0.435151537831024E+01  0.538770044076871E-02
     0.550000000000000E+00  0.229749790860947E+00  0.313066194951658E-03  0.435255300763964E+01  0.593096169237366E-02
     0.600000000000000E+00  0.229689689800627E+00  0.341631704957860E-03  0.435369035774889E+01  0.647551338097669E-02
     0.650000000000000E+00  0.229624341673497E+00  0.370224709643388E-03  0.435492767529819E+01  0.702147613077435E-02
     0.700000000000000E+00  0.229553741233569E+00  0.398847549534845E-03  0.435626522905065E+01  0.756897144169316E-02
     0.750000000000000E+00  0.229477882805492E+00  0.427502577156896E-03  0.435770331003808E+01  0.811812176734023E-02
     0.800000000000000E+00  0.229396760282275E+00  0.456192158019617E-03  0.435924223174119E+01  0.866905059418105E-02
     0.850000000000000E+00  0.229310367122838E+00  0.484918671620598E-03  0.436088233028424E+01  0.922188252205089E-02
     0.900000000000000E+00  0.229218696349383E+00  0.513684512463024E-03  0.436262396464438E+01  0.977674334611005E-02
     0.950000000000000E+00  0.229121740544571E+00  0.542492091090985E-03  0.436446751687592E+01  0.103337601403570E-01
     0.100000000000000E+01  0.229019491848513E+00  0.571343835143320E-03  0.436641339235007E+01  0.108930613428162E-01
     0.105000000000000E+01  0.228911941955568E+00  0.600242190427301E-03  0.436846202001011E+01  0.114547768425218E-01
     0.110000000000000E+01  0.228799082110946E+00  0.629189622013559E-03  0.437061385264246E+01  0.120190380684214E-01
     0.115000000000000E+01  0.228680903107108E+00  0.658188615353682E-03  0.437286936716419E+01  0.125859780803309E-01
     0.120000000000000E+01  0.228557395279961E+00  0.687241677421947E-03  0.437522906492704E+01  0.131557316620738E-01
     0.125000000000000E+01  0.228428548504846E+00  0.716351337882737E-03  0.437769347203862E+01  0.137284354169456E-01
     0.130000000000000E+01  0.228294352192310E+00  0.745520150285226E-03  0.438026313970100E+01  0.143042278656455E-01
     0.135000000000000E+01  0.228154795283659E+00  0.774750693287016E-03  0.438293864456733E+01  0.148832495468317E-01
     0.140000000000000E+01  0.228009866246286E+00  0.804045571908453E-03  0.438572058911691E+01  0.154656431204525E-01
     0.145000000000000E+01  0.227859553068777E+00  0.833407418819377E-03  0.438860960204909E+01  0.160515534740195E-01
     0.150000000000000E+01  0.227703843255765E+00  0.862838895660298E-03  0.439160633869680E+01  0.166411278319958E-01
     0.155000000000000E+01  0.227542723822555E+00  0.892342694399843E-03  0.439471148146003E+01  0.172345158684755E-01
     0.160000000000000E+01  0.227376181289499E+00  0.921921538730646E-03  0.439792574026010E+01  0.178318698233453E-01
     0.165000000000000E+01  0.227204201676102E+00  0.951578185505745E-03  0.440124985301517E+01  0.184333446221216E-01
     0.170000000000000E+01  0.227026770494881E+00  0.981315426217836E-03  0.440468458613773E+01  0.190390979996711E-01
     0.175000000000000E+01  0.226843872744948E+00  0.101113608852366E-02  0.440823073505477E+01  0.196492906280288E-01
     0.180000000000000E+01  0.226655492905305E+00  0.104104303781614E-02  0.441188912475145E+01  0.202640862485435E-01
     0.185000000000000E+01  0.226461614927855E+00  0.107103917884671E-02  0.441566061033913E+01  0.208836518085859E-01
     0.190000000000000E+01  0.226262222230119E+00  0.110112745740080E-02  0.441954607764828E+01  0.215081576030712E-01
     0.195000000000000E+01  0.226057297687645E+00  0.113131086202915E-02  0.442354644384743E+01  0.221377774210585E-01
     0.200000000000000E+01  0.225846823626096E+00  0.116159242583824E-02  0.442766265808907E+01  0.227726886977072E-01
     0.205000000000000E+01  0.225630781813005E+00  0.119197522834276E-02  0.443189570218348E+01  0.234130726718821E-01
     0.210000000000000E+01  0.225409153449201E+00  0.122246239738387E-02  0.443624659130139E+01  0.240591145497138E-01
     0.215000000000000E+01  0.225181919159873E+00  0.125305711111645E-02  0.444071637470667E+01  0.247110036744417E-01
     0.220000000000000E+01  0.224949058985283E+00  0.128376260006942E-02  0.444530613652015E+01  0.253689337028834E-01
     0.225000000000000E+01  0.224710552371077E+00  0.131458214928295E-02  0.445001699651597E+01  0.260331027888949E-01
