#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.669182694574027E+00  -.519534377978428E-11  0.149436022196682E+01  -.116017869961423E-10
     0.500000000000000E-01  0.669181381770804E+00  0.143071863939671E-04  0.149436315292674E+01  0.319496817329594E-04
     0.100000000000000E+00  0.669177443196749E+00  0.286161756900391E-04  0.149437194624220E+01  0.639041417111237E-04
     0.150000000000000E+00  0.669170878358631E+00  0.429287612469353E-04  0.149438660322060E+01  0.958681373846254E-04
     0.200000000000000E+00  0.669161686434142E+00  0.572467433146306E-04  0.149440712604162E+01  0.127846442625760E-03
     0.250000000000000E+00  0.669149866271510E+00  0.715719246891572E-04  0.149443351775836E+01  0.159843838543867E-03
     0.300000000000000E+00  0.669135416388961E+00  0.859061115653814E-04  0.149446578229888E+01  0.191865115909788E-03
     0.350000000000000E+00  0.669118334974019E+00  0.100251114393302E-03  0.149450392446815E+01  0.223915077590741E-03
     0.400000000000000E+00  0.669098619882658E+00  0.114608748738748E-03  0.149454794995049E+01  0.255998540998226E-03
     0.450000000000000E+00  0.669076268638291E+00  0.128980836149398E-03  0.149459786531243E+01  0.288120340551667E-03
     0.500000000000000E+00  0.669051278430603E+00  0.143369205027001E-03  0.149465367800605E+01  0.320285330160440E-03
     0.550000000000000E+00  0.669023646114225E+00  0.157775691506745E-03  0.149471539637269E+01  0.352498385727035E-03
     0.600000000000000E+00  0.668993368207248E+00  0.172202140344689E-03  0.149478302964724E+01  0.384764407674116E-03
     0.650000000000000E+00  0.668960440889574E+00  0.186650405814216E-03  0.149485658796283E+01  0.417088323498300E-03
     0.700000000000000E+00  0.668924860001100E+00  0.201122352612470E-03  0.149493608235590E+01  0.449475090353486E-03
     0.750000000000000E+00  0.668886621039742E+00  0.215619856777752E-03  0.149502152477194E+01  0.481929697666699E-03
     0.800000000000000E+00  0.668845719159292E+00  0.230144806618892E-03  0.149511292807153E+01  0.514457169789371E-03
     0.850000000000000E+00  0.668802149167094E+00  0.244699103657609E-03  0.149521030603692E+01  0.547062568687176E-03
     0.900000000000000E+00  0.668755905521561E+00  0.259284663584922E-03  0.149531367337917E+01  0.579750996671464E-03
     0.950000000000000E+00  0.668706982329509E+00  0.273903417232669E-03  0.149542304574568E+01  0.612527599175561E-03
     0.100000000000000E+01  0.668655373343315E+00  0.288557311561262E-03  0.149553843972831E+01  0.645397567579183E-03
     0.105000000000000E+01  0.668601071957894E+00  0.303248310664794E-03  0.149565987287198E+01  0.678366142084366E-03
     0.110000000000000E+01  0.668544071207492E+00  0.317978396794678E-03  0.149578736368380E+01  0.711438614646387E-03
     0.115000000000000E+01  0.668484363762290E+00  0.332749571403010E-03  0.149592093164276E+01  0.744620331963254E-03
     0.120000000000000E+01  0.668421941924821E+00  0.347563856206915E-03  0.149606059720993E+01  0.777916698527512E-03
     0.125000000000000E+01  0.668356797626185E+00  0.362423294275140E-03  0.149620638183927E+01  0.811333179744158E-03
     0.130000000000000E+01  0.668288922422071E+00  0.377329951138226E-03  0.149635830798894E+01  0.844875305118627E-03
     0.135000000000000E+01  0.668218307488569E+00  0.392285915923648E-03  0.149651639913328E+01  0.878548671519002E-03
     0.140000000000000E+01  0.668144943617784E+00  0.407293302517304E-03  0.149668067977533E+01  0.912358946516633E-03
     0.145000000000000E+01  0.668068821213219E+00  0.422354250752881E-03  0.149685117545996E+01  0.946311871809672E-03
     0.150000000000000E+01  0.667989930284963E+00  0.437470927630576E-03  0.149702791278770E+01  0.980413266734001E-03
     0.155000000000000E+01  0.667908260444635E+00  0.452645528566800E-03  0.149721091942910E+01  0.101466903186646E-02
     0.160000000000000E+01  0.667823800900107E+00  0.467880278676490E-03  0.149740022413985E+01  0.104908515272517E-02
     0.165000000000000E+01  0.667736540449993E+00  0.483177434089784E-03  0.149759585677655E+01  0.108366770357235E-02
     0.170000000000000E+01  0.667646467477895E+00  0.498539283304797E-03  0.149779784831316E+01  0.111842285132473E-02
     0.175000000000000E+01  0.667553569946391E+00  0.513968148578425E-03  0.149800623085817E+01  0.115335685957750E-02
     0.180000000000000E+01  0.667457835390791E+00  0.529466387357076E-03  0.149822103767254E+01  0.118847609274735E-02
     0.185000000000000E+01  0.667359250912597E+00  0.545036393749398E-03  0.149844230318837E+01  0.122378702034100E-02
     0.190000000000000E+01  0.667257803172722E+00  0.560680600043096E-03  0.149867006302838E+01  0.125929622135549E-02
     0.195000000000000E+01  0.667153478384418E+00  0.576401478268076E-03  0.149890435402615E+01  0.129501038881687E-02
     0.200000000000000E+01  0.667046262305910E+00  0.592201541808236E-03  0.149914521424730E+01  0.133093633446452E-02
     0.205000000000000E+01  0.666936140232746E+00  0.608083347064337E-03  0.149939268301135E+01  0.136708099358829E-02
     0.210000000000000E+01  0.666823096989835E+00  0.624049495170478E-03  0.149964680091471E+01  0.140345143002614E-02
     0.215000000000000E+01  0.666707116923172E+00  0.640102633766859E-03  0.149990760985432E+01  0.144005484133049E-02
     0.220000000000000E+01  0.666588183891232E+00  0.656245458831640E-03  0.150017515305251E+01  0.147689856411168E-02
     0.225000000000000E+01  0.666466281256032E+00  0.672480716574785E-03  0.150044947508260E+01  0.151399007956740E-02
     0.230000000000000E+01  0.666341391873847E+00  0.688811205397025E-03  0.150073062189569E+01  0.155133701920757E-02
     0.235000000000000E+01  0.666213498085559E+00  0.705239777917122E-03  0.150101864084841E+01  0.158894717078435E-02
     0.240000000000000E+01  0.666082581706636E+00  0.721769343070864E-03  0.150131358073180E+01  0.162682848443770E-02
     0.245000000000000E+01  0.665948624016731E+00  0.738402868285347E-03  0.150161549180131E+01  0.166498907906737E-02
     0.250000000000000E+01  0.665811605748871E+00  0.755143381732307E-03  0.150192442580794E+01  0.170343724894267E-02
     0.255000000000000E+01  0.665671507078239E+00  0.771993974664463E-03  0.150224043603066E+01  0.174218147056230E-02
     0.260000000000000E+01  0.665528307610527E+00  0.788957803838991E-03  0.150256357731004E+01  0.178123040977654E-02
     0.265000000000000E+01  0.665381986369835E+00  0.806038094032603E-03  0.150289390608318E+01  0.182059292918576E-02
     0.270000000000000E+01  0.665232521786124E+00  0.823238140652738E-03  0.150323148042005E+01  0.186027809582878E-02
     0.275000000000000E+01  0.665079891682168E+00  0.840561312449847E-03  0.150357636006122E+01  0.190029518917645E-02
     0.280000000000000E+01  0.664924073260027E+00  0.858011054335842E-03  0.150392860645700E+01  0.194065370944598E-02
     0.285000000000000E+01  0.664765043086989E+00  0.875590890314177E-03  0.150428828280823E+01  0.198136338625268E-02
     0.290000000000000E+01  0.664602777080982E+00  0.893304426527272E-03  0.150465545410855E+01  0.202243418761669E-02
     0.295000000000000E+01  0.664437250495421E+00  0.911155354427349E-03  0.150503018718834E+01  0.206387632934331E-02
     0.300000000000000E+01  0.664268437903472E+00  0.929147454077089E-03  0.150541255076047E+01  0.210570028479669E-02
     0.305000000000000E+01  0.664096313181718E+00  0.947284597586858E-03  0.150580261546772E+01  0.214791679508732E-02
     0.310000000000000E+01  0.663920849493183E+00  0.965570752695703E-03  0.150620045393216E+01  0.219053687969595E-02
     0.315000000000000E+01  0.663742019269705E+00  0.984009986503670E-03  0.150660614080643E+01  0.223357184755675E-02
     0.320000000000000E+01  0.663559794193621E+00  0.100260646936351E-02  0.150701975282710E+01  0.227703330862474E-02
     0.325000000000000E+01  0.663374145178741E+00  0.102136447894027E-02  0.150744136887012E+01  0.232093318595374E-02
     0.330000000000000E+01  0.663185042350575E+00  0.104028840444780E-02  0.150787107000845E+01  0.236528372831257E-02
     0.335000000000000E+01  0.662992455025780E+00  0.105938275107175E-02  0.150830893957213E+01  0.241009752336910E-02
     0.340000000000000E+01  0.662796351690798E+00  0.107865214458923E-02  0.150875506321059E+01  0.245538751147377E-02
     0.345000000000000E+01  0.662596699979649E+00  0.109810133619595E-02  0.150920952895764E+01  0.250116700007553E-02
     0.350000000000000E+01  0.662393466650836E+00  0.111773520755221E-02  0.150967242729906E+01  0.254744967880614E-02
     0.355000000000000E+01  0.662186617563322E+00  0.113755877606006E-02  0.151014385124286E+01  0.259424963527019E-02
     0.360000000000000E+01  0.661976117651547E+00  0.115757720038450E-02  0.151062389639261E+01  0.264158137158135E-02
     0.365000000000000E+01  0.661761930899424E+00  0.117779578623252E-02  0.151111266102362E+01  0.268945982168734E-02
     0.370000000000000E+01  0.661544020313285E+00  0.119821999240473E-02  0.151161024616242E+01  0.273790036952931E-02
     0.375000000000000E+01  0.661322347893709E+00  0.121885543713510E-02  0.151211675566952E+01  0.278691886808443E-02
     0.379999999999999E+01  0.661096874606203E+00  0.123970790473557E-02  0.151263229632563E+01  0.283653165934301E-02
     0.384999999999999E+01  0.660867560350648E+00  0.126078335256340E-02  0.151315697792159E+01  0.288675559527609E-02
     0.390000000000000E+01  0.660634363929481E+00  0.128208791832987E-02  0.151369091335210E+01  0.293760805985198E-02
     0.394999999999999E+01  0.660397243014542E+00  0.130362792777108E-02  0.151423421871346E+01  0.298910699216534E-02
     0.399999999999999E+01  0.660156154112509E+00  0.132540990270203E-02  0.151478701340561E+01  0.304127091074583E-02
     0.404999999999999E+01  0.659911052528863E+00  0.134744056947739E-02  0.151534942023854E+01  0.309411893911891E-02
     0.409999999999999E+01  0.659661892330310E+00  0.136972686788357E-02  0.151592156554341E+01  0.314767083269563E-02
     0.414999999999999E+01  0.659408626305574E+00  0.139227596048852E-02  0.151650357928856E+01  0.320194700707453E-02
     0.419999999999999E+01  0.659151205924478E+00  0.141509524247774E-02  0.151709559520073E+01  0.325696856784400E-02
     0.424999999999999E+01  0.658889581295237E+00  0.143819235200665E-02  0.151769775089166E+01  0.331275734198023E-02
     0.429999999999999E+01  0.658623701119858E+00  0.146157518110207E-02  0.151831018799045E+01  0.336933591094290E-02
     0.434999999999999E+01  0.658353512647540E+00  0.148525188714765E-02  0.151893305228199E+01  0.342672764557809E-02
     0.439999999999999E+01  0.658078961625995E+00  0.150923090499066E-02  0.151956649385170E+01  0.348495674294580E-02
