#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.506487262852807E+00  -.825694079742392E-11  0.197438331295335E+01  -.321871196417732E-10
     0.500000000000000E-01  0.506484513798025E+00  0.299631111483403E-04  0.197439402243796E+01  0.116803151790972E-03
     0.100000000000000E+00  0.506476266258364E+00  0.599303336209471E-04  0.197442615304773E+01  0.233629936771237E-03
     0.150000000000000E+00  0.506462519107714E+00  0.899057640263864E-04  0.197447971125183E+01  0.350503937206340E-03
     0.200000000000000E+00  0.506443270468684E+00  0.119893510828099E-03  0.197455470783624E+01  0.467448794463301E-03
     0.250000000000000E+00  0.506418517711774E+00  0.149897687890449E-03  0.197465115790990E+01  0.584488190318025E-03
     0.300000000000000E+00  0.506388257454236E+00  0.179922416286549E-03  0.197476908091328E+01  0.701645860494693E-03
     0.350000000000000E+00  0.506352485558588E+00  0.209971826112541E-03  0.197490850062943E+01  0.818945608265136E-03
     0.400000000000000E+00  0.506311197130811E+00  0.240050058309963E-03  0.197506944519745E+01  0.936411318123351E-03
     0.450000000000000E+00  0.506264386518201E+00  0.270161266497858E-03  0.197525194712858E+01  0.105406696955056E-02
     0.500000000000000E+00  0.506212047306906E+00  0.300309618816266E-03  0.197545604332461E+01  0.117193665088620E-02
     0.550000000000000E+00  0.506154172319091E+00  0.330499299782798E-03  0.197568177509905E+01  0.129004457332070E-02
     0.600000000000000E+00  0.506090753609805E+00  0.360734512163958E-03  0.197592918820064E+01  0.140841508502572E-02
     0.650000000000000E+00  0.506021782463478E+00  0.391019478862972E-03  0.197619833283957E+01  0.152707268543835E-02
     0.700000000000000E+00  0.505947249390081E+00  0.421358444825825E-03  0.197648926371629E+01  0.164604203971538E-02
     0.750000000000000E+00  0.505867144120938E+00  0.451755678967319E-03  0.197680204005293E+01  0.176534799337471E-02
     0.800000000000000E+00  0.505781455604185E+00  0.482215476118911E-03  0.197713672562739E+01  0.188501558714069E-02
     0.850000000000000E+00  0.505690171999870E+00  0.512742159000211E-03  0.197749338881021E+01  0.200507007201132E-02
     0.900000000000000E+00  0.505593280674695E+00  0.543340080215979E-03  0.197787210260416E+01  0.212553692456475E-02
     0.950000000000000E+00  0.505490768196395E+00  0.574013624280546E-03  0.197827294468658E+01  0.224644186252380E-02
     0.100000000000000E+01  0.505382620327732E+00  0.604767209671615E-03  0.197869599745466E+01  0.236781086059715E-02
     0.105000000000000E+01  0.505268822020130E+00  0.635605290915441E-03  0.197914134807358E+01  0.248967016661671E-02
     0.110000000000000E+01  0.505149357406919E+00  0.666532360705430E-03  0.197960908852757E+01  0.261204631799090E-02
     0.115000000000000E+01  0.505024209796188E+00  0.697552952056280E-03  0.198009931567410E+01  0.273496615849467E-02
     0.120000000000000E+01  0.504893361663248E+00  0.728671640495782E-03  0.198061213130096E+01  0.285845685541714E-02
     0.125000000000000E+01  0.504756794642693E+00  0.759893046296560E-03  0.198114764218672E+01  0.298254591708903E-02
     0.130000000000000E+01  0.504614489520042E+00  0.791221836749976E-03  0.198170596016419E+01  0.310726121081232E-02
     0.135000000000000E+01  0.504466426222977E+00  0.822662728484562E-03  0.198228720218731E+01  0.323263098121546E-02
     0.140000000000000E+01  0.504312583812147E+00  0.854220489831438E-03  0.198289149040134E+01  0.335868386905881E-02
     0.145000000000000E+01  0.504152940471536E+00  0.885899943239143E-03  0.198351895221654E+01  0.348544893051478E-02
     0.150000000000000E+01  0.503987473498395E+00  0.917705967740543E-03  0.198416972038536E+01  0.361295565694952E-02
     0.155000000000000E+01  0.503816159292713E+00  0.949643501474393E-03  0.198484393308326E+01  0.374123399523254E-02
     0.160000000000000E+01  0.503638973346228E+00  0.981717544264379E-03  0.198554173399332E+01  0.387031436860297E-02
     0.165000000000000E+01  0.503455890230963E+00  0.101393316025844E-02  0.198626327239460E+01  0.400022769812154E-02
     0.170000000000000E+01  0.503266883587281E+00  0.104629548063136E-02  0.198700870325450E+01  0.413100542473863E-02
     0.175000000000000E+01  0.503071926111432E+00  0.107880970635364E-02  0.198777818732513E+01  0.426267953201069E-02
     0.180000000000000E+01  0.502870989542606E+00  0.111148111102986E-02  0.198857189124393E+01  0.439528256949746E-02
     0.185000000000000E+01  0.502664044649452E+00  0.114431504380987E-02  0.198938998763846E+01  0.452884767687530E-02
     0.190000000000000E+01  0.502451061216062E+00  0.117731693237602E-02  0.199023265523579E+01  0.466340860880218E-02
     0.195000000000000E+01  0.502232008027417E+00  0.121049228601029E-02  0.199110007897629E+01  0.479899976057221E-02
     0.200000000000000E+01  0.502006852854253E+00  0.124384669874472E-02  0.199199245013228E+01  0.493565619459941E-02
     0.205000000000000E+01  0.501775562437360E+00  0.127738585259914E-02  0.199290996643144E+01  0.507341366777135E-02
     0.210000000000000E+01  0.501538102471275E+00  0.131111552091017E-02  0.199385283218535E+01  0.521230865971669E-02
     0.215000000000000E+01  0.501294437587373E+00  0.134504157175550E-02  0.199482125842309E+01  0.535237840203050E-02
     0.220000000000000E+01  0.501044531336319E+00  0.137916997147810E-02  0.199581546303039E+01  0.549366090850628E-02
     0.225000000000000E+01  0.500788346169872E+00  0.141350678831448E-02  0.199683567089417E+01  0.563619500642288E-02
     0.230000000000000E+01  0.500525843422028E+00  0.144805819613197E-02  0.199788211405294E+01  0.578002036893926E-02
     0.235000000000000E+01  0.500256983289470E+00  0.148283047827981E-02  0.199895503185311E+01  0.592517754865087E-02
     0.240000000000000E+01  0.499981724811304E+00  0.151783003155932E-02  0.200005467111151E+01  0.607170801236636E-02
     0.245000000000000E+01  0.499700025848078E+00  0.155306337031814E-02  0.200118128628423E+01  0.621965417716246E-02
     0.250000000000000E+01  0.499411843060034E+00  0.158853713067462E-02  0.200233513964220E+01  0.636905944778291E-02
     0.255000000000000E+01  0.499117131884587E+00  0.162425807487775E-02  0.200351650145350E+01  0.651996825544582E-02
     0.260000000000000E+01  0.498815846513005E+00  0.166023309580900E-02  0.200472565017297E+01  0.667242609813038E-02
     0.265000000000000E+01  0.498507939866251E+00  0.169646922163230E-02  0.200596287263908E+01  0.682647958241619E-02
     0.270000000000000E+01  0.498193363569980E+00  0.173297362059899E-02  0.200722846427862E+01  0.698217646695258E-02
     0.275000000000000E+01  0.497872067928647E+00  0.176975360601449E-02  0.200852272931921E+01  0.713956570763910E-02
     0.280000000000000E+01  0.497544001898692E+00  0.180681664137425E-02  0.200984598101034E+01  0.729869750460393E-02
     0.285000000000000E+01  0.497209113060793E+00  0.184417034567648E-02  0.201119854185287E+01  0.745962335106950E-02
     0.290000000000000E+01  0.496867347591138E+00  0.188182249891976E-02  0.201258074383753E+01  0.762239608420121E-02
     0.295000000000000E+01  0.496518650231671E+00  0.191978104779389E-02  0.201399292869287E+01  0.778706993804047E-02
     0.300000000000000E+01  0.496162964259314E+00  0.195805411157288E-02  0.201543544814282E+01  0.795370059862682E-02
     0.305000000000000E+01  0.495800231454083E+00  0.199664998821927E-02  0.201690866417443E+01  0.812234526142244E-02
     0.310000000000000E+01  0.495430392066090E+00  0.203557716070953E-02  0.201841294931619E+01  0.829306269115664E-02
     0.315000000000000E+01  0.495053384781384E+00  0.207484430359073E-02  0.201994868692725E+01  0.846591328421552E-02
     0.320000000000000E+01  0.494669146686577E+00  0.211446028977917E-02  0.202151627149820E+01  0.864095913370899E-02
     0.325000000000000E+01  0.494277613232221E+00  0.215443419761236E-02  0.202311610896376E+01  0.881826409735494E-02
     0.330000000000000E+01  0.493878718194893E+00  0.219477531816590E-02  0.202474861702790E+01  0.899789386832773E-02
     0.335000000000000E+01  0.493472393637929E+00  0.223549316284798E-02  0.202641422550203E+01  0.917991604922777E-02
     0.340000000000000E+01  0.493058569870756E+00  0.227659747128450E-02  0.202811337665673E+01  0.936440022933843E-02
     0.345000000000000E+01  0.492637175406782E+00  0.231809821950839E-02  0.202984652558769E+01  0.955141806534346E-02
     0.350000000000000E+01  0.492208136919772E+00  0.236000562846800E-02  0.203161414059642E+01  0.974104336569357E-02
     0.355000000000000E+01  0.491771379198667E+00  0.240233017286935E-02  0.203341670358651E+01  0.993335217881593E-02
     0.360000000000000E+01  0.491326825100767E+00  0.244508259036865E-02  0.203525471047596E+01  0.101284228853777E-01
     0.365000000000000E+01  0.490874395503228E+00  0.248827389113198E-02  0.203712867162661E+01  0.103263362948242E-01
     0.370000000000000E+01  0.490414009252803E+00  0.253191536777977E-02  0.203903911229109E+01  0.105271757464264E-01
     0.375000000000000E+01  0.489945583113747E+00  0.257601860573515E-02  0.204098657307842E+01  0.107310272150877E-01
     0.379999999999999E+01  0.489469031713829E+00  0.262059549399580E-02  0.204297161043899E+01  0.109379794221749E-01
     0.384999999999999E+01  0.488984267488354E+00  0.266565823635047E-02  0.204499479716980E+01  0.111481239516552E-01
     0.390000000000000E+01  0.488491200622130E+00  0.271121936306212E-02  0.204705672294106E+01  0.113615553718387E-01
     0.394999999999999E+01  0.487989738989283E+00  0.275729174304108E-02  0.204915799484506E+01  0.115783713630441E-01
     0.399999999999999E+01  0.487479788090836E+00  0.280388859653298E-02  0.205129923796842E+01  0.117986728515289E-01
     0.404999999999999E+01  0.486961250989959E+00  0.285102350834738E-02  0.205348109598888E+01  0.120225641500415E-01
     0.409999999999999E+01  0.486434028244781E+00  0.289871044165490E-02  0.205570423179787E+01  0.122501531053828E-01
     0.414999999999999E+01  0.485898017838682E+00  0.294696375238175E-02  0.205796932814999E+01  0.124815512533844E-01
     0.419999999999999E+01  0.485353115107918E+00  0.299579820423280E-02  0.206027708834097E+01  0.127168739817431E-01
     0.424999999999999E+01  0.484799212666509E+00  0.304522898437570E-02  0.206262823691539E+01  0.129562407011731E-01
     0.429999999999999E+01  0.484236200328236E+00  0.309527171982068E-02  0.206502352040562E+01  0.131997750253769E-01
     0.434999999999999E+01  0.483663965025630E+00  0.314594249453279E-02  0.206746370810386E+01  0.134476049603646E-01
     0.439999999999999E+01  0.483082390725821E+00  0.319725786731529E-02  0.206994959286861E+01  0.136998631036863E-01
     0.444999999999999E+01  0.482491358343112E+00  0.324923489050562E-02  0.207248199196767E+01  0.139566868541866E-01
     0.449999999999999E+01  0.481890745648107E+00  0.330189112952744E-02  0.207506174795940E+01  0.142182186329267E-01
     0.454999999999999E+01  0.481280427173265E+00  0.335524468334538E-02  0.207768972961443E+01  0.144846061159692E-01
     0.459999999999999E+01  0.480660274114696E+00  0.340931420587161E-02  0.208036683287979E+01  0.147560024797655E-01
     0.464999999999999E+01  0.480030154230029E+00  0.346411892837657E-02  0.208309398188789E+01  0.150325666599421E-01
     0.469999999999999E+01  0.479389931732180E+00  0.351967868295970E-02  0.208587213001269E+01  0.153144636243360E-01
     0.474999999999999E+01  0.478739467178802E+00  0.357601392713903E-02  0.208870226097573E+01  0.156018646611944E-01
     0.479999999999999E+01  0.478078617357240E+00  0.363314576962277E-02  0.209158539000473E+01  0.158949476835149E-01
     0.484999999999999E+01  0.477407235164762E+00  0.369109599732977E-02  0.209452256504758E+01  0.161938975505804E-01
     0.489999999999999E+01  0.476725169483829E+00  0.374988710373019E-02  0.209751486804506E+01  0.164989064078173E-01
     0.494999999999999E+01  0.476032265052196E+00  0.380954231858233E-02  0.210056341626538E+01  0.168101740461887E-01
     0.499999999999999E+01  0.475328362327535E+00  0.387008563914645E-02  0.210366936370421E+01  0.171279082824307E-01
