#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.686514507237943E+00  -.151405001324862E-10  0.145663345706022E+01  -.321248259389809E-10
     0.500000000000000E-01  0.686512652629205E+00  0.202182658049929E-04  0.145663739088108E+01  0.428989645529984E-04
     0.100000000000000E+00  0.686507088512541E+00  0.404397265031054E-04  0.145664919308660E+01  0.858060986770353E-04
     0.150000000000000E+00  0.686497814016454E+00  0.606675485500497E-04  0.145666886590600E+01  0.128729512810335E-03
     0.200000000000000E+00  0.686484827687889E+00  0.809049172329819E-04  0.145669641305621E+01  0.171677359758746E-03
     0.250000000000000E+00  0.686468127491400E+00  0.101155023381450E-03  0.145673183974417E+01  0.214657807709609E-03
     0.300000000000000E+00  0.686447710807974E+00  0.121421065226027E-03  0.145677515267011E+01  0.257679045391257E-03
     0.350000000000000E+00  0.686423574433516E+00  0.141706250266552E-03  0.145682636003173E+01  0.300749287260328E-03
     0.400000000000000E+00  0.686395714577005E+00  0.162013797152425E-03  0.145688547152931E+01  0.343876778723951E-03
     0.450000000000000E+00  0.686364126858293E+00  0.182346937577418E-03  0.145695249837186E+01  0.387069801404011E-03
     0.500000000000000E+00  0.686328806305571E+00  0.202708918191519E-03  0.145702745328409E+01  0.430336678450685E-03
     0.550000000000000E+00  0.686289747352478E+00  0.223103002532343E-03  0.145711035051451E+01  0.473685779912689E-03
     0.600000000000000E+00  0.686246943834864E+00  0.243532472978711E-03  0.145720120584432E+01  0.517125528171710E-03
     0.650000000000000E+00  0.686200388987196E+00  0.264000632729031E-03  0.145730003659748E+01  0.560664403448703E-03
     0.700000000000000E+00  0.686150075438594E+00  0.284510807807179E-03  0.145740686165165E+01  0.604310949389883E-03
     0.750000000000000E+00  0.686095995208518E+00  0.305066349098661E-03  0.145752170145022E+01  0.648073778740468E-03
     0.800000000000000E+00  0.686038139702065E+00  0.325670634419875E-03  0.145764457801532E+01  0.691961579114391E-03
     0.850000000000000E+00  0.685976499704901E+00  0.346327070623401E-03  0.145777551496197E+01  0.735983118868485E-03
     0.900000000000000E+00  0.685911065377800E+00  0.367039095742325E-03  0.145791453751319E+01  0.780147253089864E-03
     0.950000000000000E+00  0.685841826250798E+00  0.387810181176681E-03  0.145806167251631E+01  0.824462929705534E-03
     0.100000000000000E+01  0.685768771216937E+00  0.408643833925223E-03  0.145821694846034E+01  0.868939195723547E-03
     0.105000000000000E+01  0.685691888525614E+00  0.429543598865829E-03  0.145838039549445E+01  0.913585203615338E-03
     0.110000000000000E+01  0.685611165775503E+00  0.450513061087989E-03  0.145855204544775E+01  0.958410217849306E-03
     0.115000000000000E+01  0.685526589907047E+00  0.471555848280900E-03  0.145873193185011E+01  0.100342362158598E-02
     0.120000000000000E+01  0.685438147194528E+00  0.492675633180903E-03  0.145892008995426E+01  0.104863492354558E-02
     0.125000000000000E+01  0.685345823237671E+00  0.513876136082096E-03  0.145911655675924E+01  0.109405376505932E-02
     0.130000000000000E+01  0.685249602952800E+00  0.535161127414134E-03  0.145932137103498E+01  0.113968992731604E-02
     0.135000000000000E+01  0.685149470563514E+00  0.556534430391399E-03  0.145953457334832E+01  0.118555333881654E-02
     0.140000000000000E+01  0.685045409590888E+00  0.577999923737918E-03  0.145975620609039E+01  0.123165408304843E-02
     0.145000000000000E+01  0.684937402843157E+00  0.599561544492580E-03  0.145998631350534E+01  0.127800240639470E-02
     0.150000000000000E+01  0.684825432404907E+00  0.621223290899453E-03  0.146022494172055E+01  0.132460872629035E-02
     0.155000000000000E+01  0.684709479625718E+00  0.642989225388185E-03  0.146047213877837E+01  0.137148363964152E-02
     0.160000000000000E+01  0.684589525108272E+00  0.664863477649747E-03  0.146072795466933E+01  0.141863793152262E-02
     0.165000000000000E+01  0.684465548695890E+00  0.686850247813068E-03  0.146099244136700E+01  0.146608258416786E-02
     0.170000000000000E+01  0.684337529459493E+00  0.708953809728266E-03  0.146126565286451E+01  0.151382878627392E-02
     0.175000000000000E+01  0.684205445683952E+00  0.731178514362667E-03  0.146154764521271E+01  0.156188794263195E-02
     0.180000000000000E+01  0.684069274853825E+00  0.753528793315931E-03  0.146183847656015E+01  0.161027168410765E-02
     0.185000000000000E+01  0.683928993638444E+00  0.776009162461095E-03  0.146213820719486E+01  0.165899187798942E-02
     0.190000000000000E+01  0.683784577876330E+00  0.798624225718614E-03  0.146244689958810E+01  0.170806063872556E-02
     0.195000000000000E+01  0.683636002558929E+00  0.821378678970915E-03  0.146276461843992E+01  0.175749033907267E-02
     0.200000000000000E+01  0.683483241813614E+00  0.844277314125394E-03  0.146309143072698E+01  0.180729362167874E-02
     0.205000000000000E+01  0.683326268885954E+00  0.867325023334196E-03  0.146342740575228E+01  0.185748341112558E-02
     0.210000000000000E+01  0.683165056121204E+00  0.890526803379680E-03  0.146377261519726E+01  0.190807292645697E-02
     0.215000000000000E+01  0.682999574944990E+00  0.913887760234871E-03  0.146412713317610E+01  0.195907569422012E-02
     0.220000000000000E+01  0.682829795843163E+00  0.937413113808858E-03  0.146449103629246E+01  0.201050556204989E-02
     0.225000000000000E+01  0.682655688340775E+00  0.961108202887613E-03  0.146486440369868E+01  0.206237671282696E-02
     0.230000000000000E+01  0.682477220980160E+00  0.984978490281362E-03  0.146524731715761E+01  0.211470367944292E-02
     0.235000000000000E+01  0.682294361298057E+00  0.100902956819035E-02  0.146563986110709E+01  0.216750136020751E-02
     0.240000000000000E+01  0.682107075801768E+00  0.103326716380148E-02  0.146604212272732E+01  0.222078503493517E-02
     0.245000000000000E+01  0.681915329944273E+00  0.105769714512922E-02  0.146645419201109E+01  0.227457038175055E-02
     0.250000000000000E+01  0.681719088098284E+00  0.108232552711482E-02  0.146687616183720E+01  0.232887349465520E-02
     0.255000000000000E+01  0.681518313529186E+00  0.110715847799905E-02  0.146730812804701E+01  0.238371090190020E-02
     0.260000000000000E+01  0.681312968366796E+00  0.113220232598432E-02  0.146775018952437E+01  0.243909958521260E-02
     0.265000000000000E+01  0.681103013575921E+00  0.115746356620337E-02  0.146820244827908E+01  0.249505699992647E-02
     0.270000000000000E+01  0.680888408925624E+00  0.118294886801264E-02  0.146866500953404E+01  0.255160109607307E-02
     0.275000000000000E+01  0.680669112957167E+00  0.120866508262977E-02  0.146913798181626E+01  0.260875034048772E-02
     0.280000000000000E+01  0.680445082950550E+00  0.123461925113588E-02  0.146962147705185E+01  0.266652373999567E-02
     0.285000000000000E+01  0.680216274889585E+00  0.126081861286473E-02  0.147011561066539E+01  0.272494086574272E-02
     0.290000000000000E+01  0.679982643425445E+00  0.128727061420240E-02  0.147062050168357E+01  0.278402187874140E-02
     0.295000000000000E+01  0.679744141838594E+00  0.131398291782274E-02  0.147113627284364E+01  0.284378755670830E-02
     0.300000000000000E+01  0.679500721999036E+00  0.134096341238551E-02  0.147166305070670E+01  0.290425932227358E-02
     0.305000000000000E+01  0.679252334324787E+00  0.136822022272622E-02  0.147220096577615E+01  0.296545927264910E-02
     0.310000000000000E+01  0.678998927738492E+00  0.139576172056863E-02  0.147275015262152E+01  0.302741021084856E-02
     0.315000000000000E+01  0.678740449622079E+00  0.142359653579309E-02  0.147331075000812E+01  0.309013567855886E-02
     0.320000000000000E+01  0.678476845769363E+00  0.145173356829632E-02  0.147388290103250E+01  0.315365999077024E-02
     0.325000000000000E+01  0.678208060336483E+00  0.148018200048099E-02  0.147446675326440E+01  0.321800827227974E-02
     0.330000000000000E+01  0.677934035790061E+00  0.150895131041611E-02  0.147506245889523E+01  0.328320649619198E-02
     0.335000000000000E+01  0.677654712852963E+00  0.153805128571242E-02  0.147567017489366E+01  0.334928152455001E-02
     0.340000000000000E+01  0.677370030447531E+00  0.156749203816033E-02  0.147629006316852E+01  0.341626115123957E-02
     0.345000000000000E+01  0.677079925636153E+00  0.159728401918166E-02  0.147692229073955E+01  0.348417414732092E-02
     0.350000000000000E+01  0.676784333559012E+00  0.162743803615023E-02  0.147756702991646E+01  0.355305030895475E-02
     0.355000000000000E+01  0.676483187368871E+00  0.165796526964091E-02  0.147822445848658E+01  0.362292050810141E-02
     0.360000000000000E+01  0.676176418162725E+00  0.168887729167123E-02  0.147889475991179E+01  0.369381674618756E-02
     0.365000000000000E+01  0.675863954910125E+00  0.172018608500494E-02  0.147957812353526E+01  0.376577221094966E-02
     0.370000000000000E+01  0.675545724378005E+00  0.175190406359257E-02  0.148027474479840E+01  0.383882133668079E-02
     0.375000000000000E+01  0.675221651051801E+00  0.178404409422993E-02  0.148098482546878E+01  0.391299986812631E-02
     0.379999999999999E+01  0.674891657052624E+00  0.181661951952256E-02  0.148170857387970E+01  0.398834492829405E-02
     0.384999999999999E+01  0.674555662050291E+00  0.184964418225120E-02  0.148244620518194E+01  0.406489509046729E-02
     0.390000000000000E+01  0.674213583171918E+00  0.188313245124163E-02  0.148319794160863E+01  0.414269045473355E-02
     0.394999999999999E+01  0.673865334905843E+00  0.191709924885093E-02  0.148396401275397E+01  0.422177272936878E-02
     0.399999999999999E+01  0.673510829000577E+00  0.195156008019201E-02  0.148474465586658E+01  0.430218531744671E-02
     0.404999999999999E+01  0.673149974358450E+00  0.198653106422900E-02  0.148554011615864E+01  0.438397340907580E-02
     0.409999999999999E+01  0.672782676923667E+00  0.202202896688775E-02  0.148635064713155E+01  0.446718407970149E-02
     0.414999999999999E+01  0.672408839564362E+00  0.205807123633872E-02  0.148717651091942E+01  0.455186639495220E-02
     0.419999999999999E+01  0.672028361948300E+00  0.209467604062382E-02  0.148801797865138E+01  0.463807152255030E-02
     0.424999999999999E+01  0.671641140411794E+00  0.213186230781471E-02  0.148887533083415E+01  0.472585285185835E-02
     0.429999999999999E+01  0.671247067821393E+00  0.216964976890718E-02  0.148974885775598E+01  0.481526612168389E-02
     0.434999999999999E+01  0.670846033427849E+00  0.220805900367607E-02  0.149063885991371E+01  0.490636955702578E-02
     0.439999999999999E+01  0.670437922711846E+00  0.224711148973613E-02  0.149154564846426E+01  0.499922401551041E-02
     0.444999999999999E+01  0.670022617220926E+00  0.228682965507846E-02  0.149246954570247E+01  0.509389314433921E-02
     0.449999999999999E+01  0.669599994396984E+00  0.232723693437817E-02  0.149341088556701E+01  0.519044354865009E-02
     0.454999999999999E+01  0.669169927393691E+00  0.236835782939870E-02  0.149437001417645E+01  0.528894497228540E-02
     0.459999999999999E+01  0.668732284883096E+00  0.241021797385081E-02  0.149534729039763E+01  0.538947049206023E-02
     0.464999999999999E+01  0.668286930850654E+00  0.245284420310069E-02  0.149634308644868E+01  0.549209672673615E-02
     0.469999999999999E+01  0.667833724377806E+00  0.249626462916290E-02  0.149735778853936E+01  0.559690406203245E-02
     0.474999999999999E+01  0.667372519411201E+00  0.254050872145901E-02  0.149839179755140E+01  0.570397689314579E-02
     0.479999999999999E+01  0.666903164517551E+00  0.258560739387442E-02  0.149944552976193E+01  0.581340388640840E-02
     0.484999999999999E+01  0.666425502623018E+00  0.263159309870315E-02  0.150051941761341E+01  0.592527826189036E-02
     0.489999999999999E+01  0.665939370735942E+00  0.267849992813498E-02  0.150161391053359E+01  0.603969809895132E-02
     0.494999999999999E+01  0.665444599651604E+00  0.272636372401207E-02  0.150272947580948E+01  0.615676666697065E-02
     0.499999999999999E+01  0.664941013637582E+00  0.277522219666390E-02  0.150386659951978E+01  0.627659278373751E-02
