#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.438377129630938E+00  0.218018058711926E-10  0.228114089994129E+01  0.113447959995602E-09
     0.500000000000000E-01  0.438372790611732E+00  0.472976929532764E-04  0.228116345214646E+01  0.246123324363489E-03
     0.100000000000000E+00  0.438359772917695E+00  0.946023263900432E-04  0.228123111473073E+01  0.492311986226433E-03
     0.150000000000000E+00  0.438338074639209E+00  0.141920887907120E-03  0.228134390560491E+01  0.738631598387700E-03
     0.200000000000000E+00  0.438307692592525E+00  0.189260350321694E-03  0.228150185463490E+01  0.985147757078542E-03
     0.250000000000000E+00  0.438268622318154E+00  0.236627696994406E-03  0.228170500366373E+01  0.123192620402932E-02
     0.300000000000000E+00  0.438220858078641E+00  0.284029925362881E-03  0.228195340654221E+01  0.147903287530290E-02
     0.350000000000000E+00  0.438164392855683E+00  0.331474050491640E-03  0.228224712916863E+01  0.172653395041530E-02
     0.400000000000000E+00  0.438099218346605E+00  0.378967108642548E-03  0.228258624953729E+01  0.197449590181650E-02
     0.450000000000000E+00  0.438025324960179E+00  0.426516160870014E-03  0.228297085779607E+01  0.222298554480571E-02
     0.500000000000000E+00  0.437942701811799E+00  0.474128296645189E-03  0.228340105631298E+01  0.247207008795581E-02
     0.550000000000000E+00  0.437851336717986E+00  0.521810637513488E-03  0.228387695975204E+01  0.272181718412377E-02
     0.600000000000000E+00  0.437751216190226E+00  0.569570340789842E-03  0.228439869515835E+01  0.297229498212474E-02
     0.650000000000000E+00  0.437642325428142E+00  0.617414603296136E-03  0.228496640205257E+01  0.322357217914913E-02
     0.700000000000000E+00  0.437524648311972E+00  0.665350665145419E-03  0.228558023253499E+01  0.347571807400449E-02
     0.750000000000000E+00  0.437398167394360E+00  0.713385813577550E-03  0.228624035139934E+01  0.372880262126556E-02
     0.800000000000000E+00  0.437262863891456E+00  0.761527386851072E-03  0.228694693625636E+01  0.398289648641805E-02
     0.850000000000000E+00  0.437118717673280E+00  0.809782778196232E-03  0.228770017766763E+01  0.423807110208530E-02
     0.900000000000000E+00  0.436965707253393E+00  0.858159439834163E-03  0.228850027928946E+01  0.449439872542794E-02
     0.950000000000000E+00  0.436803809777810E+00  0.906664887067478E-03  0.228934745802743E+01  0.475195249681199E-02
     0.100000000000000E+01  0.436633001013171E+00  0.955306702447599E-03  0.229024194420156E+01  0.501080649984213E-02
     0.105000000000000E+01  0.436453255334157E+00  0.100409254002437E-02  0.229118398172248E+01  0.527103582286150E-02
     0.110000000000000E+01  0.436264545710116E+00  0.105303012968365E-02  0.229217382827887E+01  0.553271662202366E-02
     0.115000000000000E+01  0.436066843690900E+00  0.110212728157891E-02  0.229321175553641E+01  0.579592618604512E-02
     0.120000000000000E+01  0.435860119391889E+00  0.115139189066283E-02  0.229429804934859E+01  0.606074300275310E-02
     0.125000000000000E+01  0.435644341478189E+00  0.120083194132545E-02  0.229543300997971E+01  0.632724682754649E-02
     0.130000000000000E+01  0.435419477147971E+00  0.125045551214534E-02  0.229661695234039E+01  0.659551875389469E-02
     0.135000000000000E+01  0.435185492114945E+00  0.130027078076090E-02  0.229785020623601E+01  0.686564128600344E-02
     0.140000000000000E+01  0.434942350589941E+00  0.135028602886879E-02  0.229913311662845E+01  0.713769841378320E-02
     0.145000000000000E+01  0.434690015261573E+00  0.140050964735714E-02  0.230046604391155E+01  0.741177569026265E-02
     0.150000000000000E+01  0.434428447275957E+00  0.145095014158133E-02  0.230184936420079E+01  0.768796031159644E-02
     0.155000000000000E+01  0.434157606215466E+00  0.150161613679060E-02  0.230328346963758E+01  0.796634119982309E-02
     0.160000000000000E+01  0.433877450076486E+00  0.155251638371396E-02  0.230476876870874E+01  0.824700908853824E-02
     0.165000000000000E+01  0.433587935246155E+00  0.160365976431453E-02  0.230630568658170E+01  0.853005661165626E-02
     0.170000000000000E+01  0.433289016478033E+00  0.165505529772162E-02  0.230789466545587E+01  0.881557839544233E-02
     0.175000000000000E+01  0.432980646866694E+00  0.170671214635057E-02  0.230953616493104E+01  0.910367115400725E-02
     0.180000000000000E+01  0.432662777821190E+00  0.175863962222061E-02  0.231123066239311E+01  0.939443378846774E-02
     0.185000000000000E+01  0.432335359037360E+00  0.181084719348170E-02  0.231297865341809E+01  0.968796748998571E-02
     0.190000000000000E+01  0.431998338468934E+00  0.186334449116198E-02  0.231478065219498E+01  0.998437584691322E-02
     0.195000000000000E+01  0.431651662297404E+00  0.191614131614765E-02  0.231663719196824E+01  0.102837649562813E-01
     0.200000000000000E+01  0.431295274900618E+00  0.196924764640833E-02  0.231854882550069E+01  0.105862435398860E-01
     0.205000000000000E+01  0.430929118820034E+00  0.202267364448109E-02  0.232051612555774E+01  0.108919230652389E-01
     0.210000000000000E+01  0.430553134726613E+00  0.207642966522753E-02  0.232253968541376E+01  0.112009178716665E-01
     0.215000000000000E+01  0.430167261385291E+00  0.213052626387871E-02  0.232462011938141E+01  0.115133453018568E-01
     0.220000000000000E+01  0.429771435617959E+00  0.218497420438389E-02  0.232675806336534E+01  0.118293258391765E-01
     0.225000000000000E+01  0.429365592264931E+00  0.223978446807980E-02  0.232895417544077E+01  0.121489832510920E-01
     0.230000000000000E+01  0.428949664144802E+00  0.229496826269801E-02  0.233120913645849E+01  0.124724447390588E-01
     0.235000000000000E+01  0.428523582012669E+00  0.235053703172943E-02  0.233352365067727E+01  0.127998410952591E-01
     0.240000000000000E+01  0.428087274516631E+00  0.240650246416547E-02  0.233589844642490E+01  0.131313068665942E-01
     0.245000000000000E+01  0.427640668152493E+00  0.246287650463721E-02  0.233833427678935E+01  0.134669805263674E-01
     0.250000000000000E+01  0.427183687216628E+00  0.251967136397482E-02  0.234083192034124E+01  0.138070046541150E-01
     0.255000000000000E+01  0.426716253756884E+00  0.257689953021098E-02  0.234339218188931E+01  0.141515261240813E-01
     0.260000000000000E+01  0.426238287521491E+00  0.263457378005357E-02  0.234601589327029E+01  0.145006963028567E-01
     0.265000000000000E+01  0.425749705905849E+00  0.269270719085436E-02  0.234870391417492E+01  0.148546712567435E-01
     0.270000000000000E+01  0.425250423897142E+00  0.275131315310233E-02  0.235145713301193E+01  0.152136119694424E-01
     0.275000000000000E+01  0.424740354016647E+00  0.281040538347194E-02  0.235427646781174E+01  0.155776845707015E-01
     0.280000000000000E+01  0.424219406259659E+00  0.286999793845878E-02  0.235716286717200E+01  0.159470605766074E-01
     0.285000000000000E+01  0.423687488032923E+00  0.293010522863701E-02  0.236011731124696E+01  0.163219171422500E-01
     0.290000000000000E+01  0.423144504089449E+00  0.299074203357551E-02  0.236314081278305E+01  0.167024373275425E-01
     0.295000000000000E+01  0.422590356460602E+00  0.305192351745194E-02  0.236623441820294E+01  0.170888103770324E-01
     0.300000000000000E+01  0.422024944385334E+00  0.311366524540673E-02  0.236939920874066E+01  0.174812320146031E-01
     0.305000000000000E+01  0.421448164236421E+00  0.317598320068190E-02  0.237263630163052E+01  0.178799047540266E-01
     0.310000000000000E+01  0.420859909443576E+00  0.323889380259270E-02  0.237594685135261E+01  0.182850382264014E-01
     0.315000000000000E+01  0.420260070413265E+00  0.330241392538351E-02  0.237933205093805E+01  0.186968495255863E-01
     0.320000000000000E+01  0.419648534445085E+00  0.336656091802290E-02  0.238279313333716E+01  0.191155635728211E-01
     0.325000000000000E+01  0.419025185644524E+00  0.343135262499718E-02  0.238633137285396E+01  0.195414135018177E-01
     0.330000000000000E+01  0.418389904831924E+00  0.349680740816549E-02  0.238994808665099E+01  0.199746410657049E-01
     0.335000000000000E+01  0.417742569447452E+00  0.356294416974470E-02  0.239364463632796E+01  0.204154970673109E-01
     0.340000000000000E+01  0.417083053451889E+00  0.362978237649688E-02  0.239742242957878E+01  0.208642418143877E-01
     0.345000000000000E+01  0.416411227222986E+00  0.369734208519842E-02  0.240128292193143E+01  0.213211456015113E-01
     0.350000000000000E+01  0.415726957447204E+00  0.376564396947485E-02  0.240522761857520E+01  0.217864892205175E-01
     0.355000000000000E+01  0.415030107006545E+00  0.383470934809292E-02  0.240925807628082E+01  0.222605645014971E-01
     0.360000000000000E+01  0.414320534860237E+00  0.390456021480785E-02  0.241337590541874E+01  0.227436748865286E-01
     0.365000000000000E+01  0.413598095920979E+00  0.397521926987208E-02  0.241758277208148E+01  0.232361360385112E-01
     0.370000000000000E+01  0.412862640925478E+00  0.404670995331936E-02  0.242188040031635E+01  0.237382764876473E-01
     0.375000000000000E+01  0.412114016298901E+00  0.411905648014878E-02  0.242627057447540E+01  0.242504383183577E-01
     0.379999999999999E+01  0.411352064012962E+00  0.419228387754152E-02  0.243075514168964E+01  0.247729778996211E-01
     0.384999999999999E+01  0.410576621437221E+00  0.426641802425605E-02  0.243533601447562E+01  0.253062666620130E-01
     0.390000000000000E+01  0.409787521183269E+00  0.434148569235819E-02  0.244001517348229E+01  0.258506919249808E-01
     0.394999999999999E+01  0.408984590941318E+00  0.441751459145658E-02  0.244479467038752E+01  0.264066577782187E-01
     0.399999999999999E+01  0.408167653308777E+00  0.449453341562864E-02  0.244967663095378E+01  0.269745860213406E-01
     0.404999999999999E+01  0.407336525610343E+00  0.457257189323750E-02  0.245466325825325E+01  0.275549171664231E-01
     0.409999999999999E+01  0.406491019709065E+00  0.465166083985909E-02  0.245975683607380E+01  0.281481115084152E-01
     0.414999999999999E+01  0.405630941807839E+00  0.473183221455717E-02  0.246495973251767E+01  0.287546502688616E-01
     0.419999999999999E+01  0.404756092240739E+00  0.481311917976615E-02  0.247027440380610E+01  0.293750368188969E-01
     0.424999999999999E+01  0.403866265253541E+00  0.489555616506481E-02  0.247570339830378E+01  0.300097979880277E-01
     0.429999999999999E+01  0.402961248772742E+00  0.497917893515064E-02  0.248124936077834E+01  0.306594854658372E-01
     0.434999999999999E+01  0.402040824162323E+00  0.506402466235357E-02  0.248691503691154E+01  0.313246773044453E-01
     0.439999999999999E+01  0.401104765967492E+00  0.515013200405959E-02  0.249270327807955E+01  0.320059795303011E-01
     0.444999999999999E+01  0.400152841644462E+00  0.523754118545108E-02  0.249861704642205E+01  0.327040278747617E-01
     0.449999999999999E+01  0.399184811275410E+00  0.532629408801023E-02  0.250465942022060E+01  0.334194896338279E-01
     0.454999999999999E+01  0.398200427267537E+00  0.541643434427583E-02  0.251083359960940E+01  0.341530656684826E-01
     0.459999999999999E+01  0.397199434035164E+00  0.550800743939338E-02  0.251714291264272E+01  0.349054925582422E-01
     0.464999999999999E+01  0.396181567663641E+00  0.560106082005347E-02  0.252359082174619E+01  0.356775449218516E-01
     0.469999999999999E+01  0.395146555553814E+00  0.569564401147465E-02  0.253018093058073E+01  0.364700379205175E-01
     0.474999999999999E+01  0.394094116045602E+00  0.579180874315608E-02  0.253691699135129E+01  0.372838299607331E-01
     0.479999999999999E+01  0.393023958019178E+00  0.588960908420221E-02  0.254380291259491E+01  0.381198256155875E-01
     0.484999999999999E+01  0.391935780472074E+00  0.598910158910901E-02  0.255084276748611E+01  0.389789787855482E-01
     0.489999999999999E+01  0.390829272070412E+00  0.609034545499819E-02  0.255804080270085E+01  0.398622961220322E-01
     0.494999999999999E+01  0.389704110672241E+00  0.619340269139624E-02  0.256540144788482E+01  0.407708407397443E-01
     0.499999999999999E+01  0.388559962820862E+00  0.629833830377894E-02  0.257292932577518E+01  0.417057362467295E-01
