#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.794224617753769E+00  -.310390550700125E-10  0.125908965505024E+01  -.492064238095721E-10
     0.500000000000000E-01  0.794224114262379E+00  0.548427257583844E-05  0.125909045317901E+01  0.869426540804886E-05
     0.100000000000000E+00  0.794222603751195E+00  0.109689801721782E-04  0.125909284763007E+01  0.173892865996950E-04
     0.150000000000000E+00  0.794220086109174E+00  0.164544958450457E-04  0.125909683859760E+01  0.260857211515630E-04
     0.200000000000000E+00  0.794216561151210E+00  0.219412239173891E-04  0.125910242640534E+01  0.347842762591647E-04
     0.250000000000000E+00  0.794212028618082E+00  0.274295690541476E-04  0.125910961150663E+01  0.434856597370550E-04
     0.300000000000000E+00  0.794206488176383E+00  0.329199363766046E-04  0.125911839448459E+01  0.521905802258312E-04
     0.350000000000000E+00  0.794199939418419E+00  0.384127315770476E-04  0.125912877605224E+01  0.608997473996902E-04
     0.400000000000000E+00  0.794192381862105E+00  0.439083610338109E-04  0.125914075705274E+01  0.696138721746856E-04
     0.450000000000000E+00  0.794183814950820E+00  0.494072319267804E-04  0.125915433845964E+01  0.783336669178275E-04
     0.500000000000000E+00  0.794174238053256E+00  0.549097523534374E-04  0.125916952137713E+01  0.870598456571668E-04
     0.550000000000000E+00  0.794163650463238E+00  0.604163314455201E-04  0.125918630704040E+01  0.957931242930074E-04
     0.600000000000000E+00  0.794152051399522E+00  0.659273794863850E-04  0.125920469681599E+01  0.104534220810396E-03
     0.650000000000000E+00  0.794139440005579E+00  0.714433080291470E-04  0.125922469220217E+01  0.113283855493029E-03
     0.700000000000000E+00  0.794125815349349E+00  0.769645300156779E-04  0.125924629482939E+01  0.122042751138738E-03
     0.750000000000000E+00  0.794111176422975E+00  0.824914598965525E-04  0.125926950646079E+01  0.130811633276688E-03
     0.800000000000000E+00  0.794095522142522E+00  0.880245137520177E-04  0.125929432899267E+01  0.139591230386460E-03
     0.850000000000000E+00  0.794078851347665E+00  0.935641094140775E-04  0.125932076445507E+01  0.148382274119156E-03
     0.900000000000000E+00  0.794061162801357E+00  0.991106665897767E-04  0.125934881501238E+01  0.157185499520704E-03
     0.950000000000000E+00  0.794042455189478E+00  0.104664606985771E-03  0.125937848296396E+01  0.166001645257501E-03
