#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.495474536549458E+00  0.209724543987621E-09  0.201826718879262E+01  0.854292470330527E-09
     0.500000000000000E-01  0.495471967271622E+00  0.279972203033506E-04  0.201827764810526E+01  0.114045128039210E-03
     0.100000000000000E+00  0.495464259148203E+00  0.559973991563295E-04  0.201830902787147E+01  0.228109402782847E-03
     0.150000000000000E+00  0.495451411309284E+00  0.840039158093160E-04  0.201836133357679E+01  0.342213689714817E-03
     0.200000000000000E+00  0.495433422304614E+00  0.112019942287412E-03  0.201843457436692E+01  0.456378020440614E-03
     0.250000000000000E+00  0.495410290103053E+00  0.140048654367350E-03  0.201852876305229E+01  0.570622457213113E-03
     0.300000000000000E+00  0.495382012091761E+00  0.168093232833155E-03  0.201864391611465E+01  0.684967103197597E-03
     0.350000000000000E+00  0.495348585075183E+00  0.196156864736178E-03  0.201878005371535E+01  0.799432112778991E-03
     0.400000000000000E+00  0.495310005273785E+00  0.224242744660652E-03  0.201893719970571E+01  0.914037701922155E-03
     0.450000000000000E+00  0.495266268322567E+00  0.252354075995847E-03  0.201911538163907E+01  0.102880415859590E-02
     0.500000000000000E+00  0.495217369269345E+00  0.280494072215986E-03  0.201931463078488E+01  0.114375185327174E-02
     0.550000000000000E+00  0.495163302572798E+00  0.308665958169051E-03  0.201953498214464E+01  0.125890124950839E-02
     0.600000000000000E+00  0.495104062100273E+00  0.336872971375620E-03  0.201977647446987E+01  0.137427291463312E-02
     0.650000000000000E+00  0.495039641125359E+00  0.365118363338935E-03  0.202003915028185E+01  0.148988753053154E-02
     0.700000000000000E+00  0.494970032325228E+00  0.393405400867367E-03  0.202032305589352E+01  0.160576590455710E-02
     0.750000000000000E+00  0.494895227777717E+00  0.421737367410489E-03  0.202062824143327E+01  0.172192898057224E-02
     0.800000000000000E+00  0.494815218958174E+00  0.450117564409998E-03  0.202095476087077E+01  0.183839785013329E-02
     0.850000000000000E+00  0.494729996736068E+00  0.478549312666722E-03  0.202130267204488E+01  0.195519376383099E-02
     0.900000000000000E+00  0.494639551371325E+00  0.507035953725007E-03  0.202167203669356E+01  0.207233814279963E-02
     0.950000000000000E+00  0.494543872510428E+00  0.535580851275779E-03  0.202206292048599E+01  0.218985259040741E-02
     0.100000000000000E+01  0.494442949182259E+00  0.564187392579623E-03  0.202247539305674E+01  0.230775890414107E-02
     0.105000000000000E+01  0.494336769793670E+00  0.592858989911230E-03  0.202290952804217E+01  0.242607908769857E-02
     0.110000000000000E+01  0.494225322124797E+00  0.621599082026669E-03  0.202336540311903E+01  0.254483536330363E-02
     0.115000000000000E+01  0.494108593324103E+00  0.650411135654834E-03  0.202384310004534E+01  0.266405018425628E-02
     0.120000000000000E+01  0.493986569903152E+00  0.679298647014642E-03  0.202434270470348E+01  0.278374624773429E-02
     0.125000000000000E+01  0.493859237731088E+00  0.708265143359432E-03  0.202486430714580E+01  0.290394650786085E-02
     0.130000000000000E+01  0.493726582028853E+00  0.737314184550177E-03  0.202540800164245E+01  0.302467418905376E-02
     0.135000000000000E+01  0.493588587363105E+00  0.766449364659083E-03  0.202597388673177E+01  0.314595279967271E-02
     0.140000000000000E+01  0.493445237639836E+00  0.795674313605295E-03  0.202656206527315E+01  0.326780614598148E-02
     0.145000000000000E+01  0.493296516097696E+00  0.824992698824392E-03  0.202717264450246E+01  0.339025834644218E-02
     0.150000000000000E+01  0.493142405301019E+00  0.854408226973424E-03  0.202780573609006E+01  0.351333384635959E-02
     0.155000000000000E+01  0.492982887132515E+00  0.883924645673425E-03  0.202846145620161E+01  0.363705743289472E-02
     0.160000000000000E+01  0.492817942785659E+00  0.913545745291182E-03  0.202913992556152E+01  0.376145425046633E-02
     0.165000000000000E+01  0.492647552756746E+00  0.943275360762325E-03  0.202984126951928E+01  0.388654981656120E-02
     0.170000000000000E+01  0.492471696836613E+00  0.973117373457741E-03  0.203056561811871E+01  0.401237003797366E-02
     0.175000000000000E+01  0.492290354102013E+00  0.100307571309545E-02  0.203131310617018E+01  0.413894122749670E-02
     0.180000000000000E+01  0.492103502906645E+00  0.103315435970009E-02  0.203208387332587E+01  0.426629012108689E-02
     0.185000000000000E+01  0.491911120871814E+00  0.106335734561243E-02  0.203287806415824E+01  0.439444389552711E-02
     0.190000000000000E+01  0.491713184876734E+00  0.109368875755108E-02  0.203369582824171E+01  0.452343018661190E-02
     0.195000000000000E+01  0.491509671048440E+00  0.112415273872910E-02  0.203453732023768E+01  0.465327710788085E-02
     0.200000000000000E+01  0.491300554751318E+00  0.115475349102788E-02  0.203540269998299E+01  0.478401326992728E-02
     0.205000000000000E+01  0.491085810576225E+00  0.118549527723113E-02  0.203629213258204E+01  0.491566780031047E-02
     0.210000000000000E+01  0.490865412329218E+00  0.121638242332166E-02  0.203720578850232E+01  0.504827036410009E-02
     0.215000000000000E+01  0.490639333019839E+00  0.124741932084391E-02  0.203814384367402E+01  0.518185118508476E-02
     0.220000000000000E+01  0.490407544848976E+00  0.127861042933527E-02  0.203910647959333E+01  0.531644106767581E-02
     0.225000000000000E+01  0.490170019196273E+00  0.130996027882935E-02  0.204009388342984E+01  0.545207141954085E-02
     0.230000000000000E+01  0.489926726607087E+00  0.134147347243448E-02  0.204110624813809E+01  0.558877427500178E-02
     0.235000000000000E+01  0.489677636778958E+00  0.137315468899101E-02  0.204214377257346E+01  0.572658231923476E-02
     0.240000000000000E+01  0.489422718547598E+00  0.140500868581082E-02  0.204320666161245E+01  0.586552891331063E-02
     0.245000000000000E+01  0.489161939872376E+00  0.143704030150306E-02  0.204429512627764E+01  0.600564812011686E-02
     0.250000000000000E+01  0.488895267821281E+00  0.146925445888988E-02  0.204540938386730E+01  0.614697473120320E-02
     0.255000000000000E+01  0.488622668555346E+00  0.150165616801645E-02  0.204654965809010E+01  0.628954429459683E-02
     0.260000000000000E+01  0.488344107312526E+00  0.153425052925943E-02  0.204771617920476E+01  0.643339314363302E-02
     0.265000000000000E+01  0.488059548390992E+00  0.156704273653866E-02  0.204890918416515E+01  0.657855842685242E-02
     0.270000000000000E+01  0.487768955131842E+00  0.160003808063661E-02  0.205012891677083E+01  0.672507813901553E-02
     0.275000000000000E+01  0.487472289901209E+00  0.163324195263070E-02  0.205137562782320E+01  0.687299115328992E-02
     0.280000000000000E+01  0.487169514071711E+00  0.166665984744382E-02  0.205264957528780E+01  0.702233725466905E-02
     0.285000000000000E+01  0.486860588003278E+00  0.170029736751832E-02  0.205395102446248E+01  0.717315717468098E-02
     0.290000000000000E+01  0.486545471023284E+00  0.173416022661944E-02  0.205528024815216E+01  0.732549262745360E-02
     0.295000000000000E+01  0.486224121405988E+00  0.176825425377425E-02  0.205663752685010E+01  0.747938634720246E-02
     0.300000000000000E+01  0.485896496351242E+00  0.180258539735239E-02  0.205802314892615E+01  0.763488212721293E-02
     0.305000000000000E+01  0.485562551962455E+00  0.183715972929530E-02  0.205943741082207E+01  0.779202486039130E-02
     0.310000000000000E+01  0.485222243223781E+00  0.187198344950115E-02  0.206088061725438E+01  0.795086058146484E-02
     0.315000000000000E+01  0.484875523976490E+00  0.190706289037277E-02  0.206235308142493E+01  0.811143651091391E-02
     0.320000000000000E+01  0.484522346894515E+00  0.194240452153648E-02  0.206385512523953E+01  0.827380110072461E-02
     0.325000000000000E+01  0.484162663459115E+00  0.197801495473997E-02  0.206538707953506E+01  0.843800408205587E-02
     0.330000000000000E+01  0.483796423932661E+00  0.201390094893799E-02  0.206694928431520E+01  0.860409651491854E-02
     0.335000000000000E+01  0.483423577331459E+00  0.205006941557500E-02  0.206854208899542E+01  0.877213083997253E-02
     0.340000000000000E+01  0.483044071397628E+00  0.208652742407442E-02  0.207016585265742E+01  0.894216093255074E-02
     0.345000000000000E+01  0.482657852569942E+00  0.212328220754461E-02  0.207182094431351E+01  0.911424215902854E-02
     0.350000000000000E+01  0.482264865953649E+00  0.216034116871248E-02  0.207350774318129E+01  0.928843143566082E-02
     0.355000000000000E+01  0.481865055289184E+00  0.219771188609592E-02  0.207522663896918E+01  0.946478729001918E-02
     0.360000000000000E+01  0.481458362919745E+00  0.223540212042716E-02  0.207697803217328E+01  0.964336992516778E-02
     0.365000000000000E+01  0.481044729757702E+00  0.227341982133974E-02  0.207876233438585E+01  0.982424128672534E-02
     0.370000000000000E+01  0.480624095249768E+00  0.231177313433244E-02  0.208057996861622E+01  0.100074651329698E-01
     0.375000000000000E+01  0.480196397340886E+00  0.235047040802439E-02  0.208243136962459E+01  0.101931071081519E-01
     0.379999999999999E+01  0.479761572436799E+00  0.238952020171650E-02  0.208431698426912E+01  0.103812348191934E-01
     0.384999999999999E+01  0.479319555365215E+00  0.242893129327487E-02  0.208623727186724E+01  0.105719179159584E-01
     0.390000000000000E+01  0.478870279335532E+00  0.246871268735333E-02  0.208819270457160E+01  0.107652281752957E-01
     0.394999999999999E+01  0.478413675897054E+00  0.250887362397271E-02  0.209018376776145E+01  0.109612395890644E-01
     0.399999999999999E+01  0.477949674895629E+00  0.254942358747604E-02  0.209221096045014E+01  0.111600284563689E-01
     0.404999999999999E+01  0.477478204428646E+00  0.259037231587955E-02  0.209427479570953E+01  0.113616734802415E-01
     0.409999999999999E+01  0.476999190798311E+00  0.263172981064105E-02  0.209637580111210E+01  0.115662558690294E-01
     0.414999999999999E+01  0.476512558463139E+00  0.267350634686814E-02  0.209851451919164E+01  0.117738594427576E-01
     0.419999999999999E+01  0.476018229987563E+00  0.271571248399053E-02  0.210069150792342E+01  0.119845707447582E-01
     0.424999999999999E+01  0.475516125989604E+00  0.275835907692195E-02  0.210290734122474E+01  0.121984791588748E-01
     0.429999999999999E+01  0.475006165086462E+00  0.280145728773910E-02  0.210516260947703E+01  0.124156770325745E-01
     0.434999999999999E+01  0.474488263838006E+00  0.284501859790630E-02  0.210745792007036E+01  0.126362598063165E-01
     0.439999999999999E+01  0.473962336687995E+00  0.288905482107711E-02  0.210979389797169E+01  0.128603261495579E-01
     0.444999999999999E+01  0.473428295902956E+00  0.293357811650566E-02  0.211217118631798E+01  0.130879781037979E-01
     0.449999999999999E+01  0.472886051508627E+00  0.297860100310274E-02  0.211459044703536E+01  0.133193212330901E-01
     0.454999999999999E+01  0.472335511223795E+00  0.302413637417415E-02  0.211705236148597E+01  0.135544647824872E-01
     0.459999999999999E+01  0.471776580391465E+00  0.307019751288132E-02  0.211955763114355E+01  0.137935218449078E-01
     0.464999999999999E+01  0.471209161907171E+00  0.311679810846681E-02  0.212210697829967E+01  0.140366095369589E-01
     0.469999999999999E+01  0.470633156144349E+00  0.316395227329025E-02  0.212470114680191E+01  0.142838491842773E-01
     0.474999999999999E+01  0.470048460876570E+00  0.321167456072364E-02  0.212734090282598E+01  0.145353665170008E-01
     0.479999999999999E+01  0.469454971196505E+00  0.325997998395813E-02  0.213002703568344E+01  0.147912918760234E-01
     0.484999999999999E+01  0.468852579431466E+00  0.330888403577801E-02  0.213276035866700E+01  0.150517604307325E-01
     0.489999999999999E+01  0.468241175055316E+00  0.335840270936208E-02  0.213554170993556E+01  0.153169124089868E-01
     0.494999999999999E+01  0.467620644596592E+00  0.340855252017624E-02  0.213837195344115E+01  0.155868933401431E-01
     0.499999999999999E+01  0.466990871542625E+00  0.345935052902644E-02  0.214125197990005E+01  0.158618543120067E-01
