#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.328598979024626E+00  0.283680671299626E-10  0.304322308903175E+01  0.262722535344929E-09
     0.500000000000000E-01  0.328595045598122E+00  0.428778731866328E-04  0.304325946592564E+01  0.397110349659896E-03
     0.100000000000000E+00  0.328583244730030E+00  0.857621640891186E-04  0.304336860723847E+01  0.794337149151063E-03
     0.150000000000000E+00  0.328563574654316E+00  0.128659351152217E-03  0.304355054487162E+01  0.119179747394137E-02
     0.200000000000000E+00  0.328536032426372E+00  0.171575892447842E-03  0.304380533202439E+01  0.158960833739485E-02
     0.250000000000000E+00  0.328500613921225E+00  0.214518258056011E-03  0.304413304323910E+01  0.198788705424761E-02
     0.300000000000000E+00  0.328457313830989E+00  0.257492934096112E-03  0.304453377446469E+01  0.238675134189587E-02
     0.350000000000000E+00  0.328406125661597E+00  0.300506426782755E-03  0.304500764313862E+01  0.278631942239915E-02
     0.400000000000000E+00  0.328347041728797E+00  0.343565266512488E-03  0.304555478828724E+01  0.318671012538171E-02
     0.450000000000000E+00  0.328280053153403E+00  0.386676011987741E-03  0.304617537064475E+01  0.358804299201747E-02
     0.500000000000000E+00  0.328205149855803E+00  0.429845254384481E-03  0.304686957279113E+01  0.399043838028791E-02
     0.550000000000000E+00  0.328122320549694E+00  0.473079621570154E-03  0.304763759930919E+01  0.439401757170557E-02
     0.600000000000000E+00  0.328031552735065E+00  0.516385782378696E-03  0.304847967696093E+01  0.479890287970078E-02
     0.650000000000000E+00  0.327932832690397E+00  0.559770450949462E-03  0.304939605488362E+01  0.520521775987359E-02
     0.700000000000000E+00  0.327826145464060E+00  0.603240391137248E-03  0.305038700480612E+01  0.561308692232101E-02
     0.750000000000000E+00  0.327711474864930E+00  0.646802421000626E-03  0.305145282128533E+01  0.602263644625206E-02
     0.800000000000000E+00  0.327588803452165E+00  0.690463417376186E-03  0.305259382196378E+01  0.643399389711532E-02
     0.850000000000000E+00  0.327458112524159E+00  0.734230320546478E-03  0.305381034784849E+01  0.684728844646817E-02
     0.900000000000000E+00  0.327319382106640E+00  0.778110139009652E-03  0.305510276361156E+01  0.726265099482583E-02
     0.950000000000000E+00  0.327172590939896E+00  0.822109954359287E-03  0.305647145791342E+01  0.768021429774133E-02
     0.100000000000000E+01  0.327017716465117E+00  0.866236926283013E-03  0.305791684374873E+01  0.810011309537264E-02
     0.105000000000000E+01  0.326854734809813E+00  0.910498297689084E-03  0.305943935881629E+01  0.852248424581055E-02
     0.110000000000000E+01  0.326683620772304E+00  0.954901399970326E-03  0.306103946591297E+01  0.894746686244797E-02
     0.115000000000000E+01  0.326504347805244E+00  0.999453658415392E-03  0.306271765335293E+01  0.937520245568942E-02
     0.120000000000000E+01  0.326316887998155E+00  0.104416259777769E-02  0.306447443541268E+01  0.980583507931074E-02
     0.125000000000000E+01  0.326121212058946E+00  0.108903584801283E-02  0.306631035280276E+01  0.102395114817969E-01
     0.130000000000000E+01  0.325917289294380E+00  0.113408115019605E-02  0.306822597316718E+01  0.106763812630017E-01
     0.135000000000000E+01  0.325705087589459E+00  0.117930636263158E-02  0.307022189161146E+01  0.111165970364945E-01
     0.140000000000000E+01  0.325484573385695E+00  0.122471946716663E-02  0.307229873126028E+01  0.115603145979734E-01
     0.145000000000000E+01  0.325255711658224E+00  0.127032857572328E-02  0.307445714384595E+01  0.120076931001539E-01
     0.150000000000000E+01  0.325018465891718E+00  0.131614193706237E-02  0.307669781032886E+01  0.124588952345583E-01
     0.155000000000000E+01  0.324772798055074E+00  0.136216794379421E-02  0.307902144155102E+01  0.129140874206608E-01
     0.160000000000000E+01  0.324518668574806E+00  0.140841513965186E-02  0.308142877892439E+01  0.133734400028688E-01
     0.165000000000000E+01  0.324256036307118E+00  0.145489222704364E-02  0.308392059515492E+01  0.138371274558511E-01
     0.170000000000000E+01  0.323984858508591E+00  0.150160807490240E-02  0.308649769500431E+01  0.143053285987537E-01
     0.175000000000000E+01  0.323705090805428E+00  0.154857172685043E-02  0.308916091609087E+01  0.147782268188829E-01
     0.180000000000000E+01  0.323416687161221E+00  0.159579240969976E-02  0.309191112973114E+01  0.152560103054657E-01
     0.185000000000000E+01  0.323119599843144E+00  0.164327954230907E-02  0.309474924182430E+01  0.157388722941447E-01
     0.190000000000000E+01  0.322813779386547E+00  0.169104274481959E-02  0.309767619378116E+01  0.162270113229011E-01
     0.195000000000000E+01  0.322499174557844E+00  0.173909184829411E-02  0.310069296349999E+01  0.167206315001546E-01
     0.200000000000000E+01  0.322175732315650E+00  0.178743690478444E-02  0.310380056639105E+01  0.172199427858294E-01
     0.205000000000000E+01  0.321843397770077E+00  0.183608819785473E-02  0.310700005645270E+01  0.177251612862421E-01
     0.210000000000000E+01  0.321502114140097E+00  0.188505625358963E-02  0.311029252740111E+01  0.182365095637152E-01
