# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.010003334    0.000031664    0.000031664    0.000031664
    0.020006669    0.000063329    0.000063329    0.000063329
    0.030010003    0.000094996    0.000094996    0.000094996
    0.040013338    0.000126664    0.000126664    0.000126664
    0.050016672    0.000158334    0.000158334    0.000158334
    0.060020007    0.000190008    0.000190008    0.000190008
    0.070023341    0.000221686    0.000221686    0.000221686
    0.080026676    0.000253368    0.000253368    0.000253368
    0.090030010    0.000285056    0.000285056    0.000285056
    0.100033344    0.000316749    0.000316749    0.000316749
    0.110036679    0.000348448    0.000348448    0.000348448
    0.120040013    0.000380155    0.000380155    0.000380155
    0.130043348    0.000411869    0.000411869    0.000411869
    0.140046682    0.000443592    0.000443592    0.000443592
    0.150050017    0.000475323    0.000475323    0.000475323
    0.160053351    0.000507065    0.000507065    0.000507065
    0.170056686    0.000538816    0.000538816    0.000538816
    0.180060020    0.000570579    0.000570579    0.000570579
    0.190063354    0.000602352    0.000602352    0.000602352
    0.200066689    0.000634139    0.000634139    0.000634139
    0.210070023    0.000665938    0.000665938    0.000665938
    0.220073358    0.000697750    0.000697750    0.000697750
    0.230076692    0.000729577    0.000729577    0.000729577
    0.240080027    0.000761418    0.000761418    0.000761418
    0.250083361    0.000793275    0.000793275    0.000793275
    0.260086696    0.000825148    0.000825148    0.000825148
    0.270090030    0.000857038    0.000857038    0.000857038
    0.280093364    0.000888945    0.000888945    0.000888945
    0.290096699    0.000920870    0.000920870    0.000920870
    0.300100033    0.000952814    0.000952814    0.000952814
    0.310103368    0.000984777    0.000984777    0.000984777
    0.320106702    0.001016761    0.001016761    0.001016761
    0.330110037    0.001048765    0.001048765    0.001048765
    0.340113371    0.001080790    0.001080790    0.001080790
    0.350116706    0.001112838    0.001112838    0.001112838
    0.360120040    0.001144908    0.001144908    0.001144908
    0.370123374    0.001177002    0.001177002    0.001177002
    0.380126709    0.001209119    0.001209119    0.001209119
    0.390130043    0.001241262    0.001241262    0.001241262
    0.400133378    0.001273429    0.001273429    0.001273429
    0.410136712    0.001305623    0.001305623    0.001305623
    0.420140047    0.001337844    0.001337844    0.001337844
    0.430143381    0.001370092    0.001370092    0.001370092
    0.440146716    0.001402368    0.001402368    0.001402368
    0.450150050    0.001434673    0.001434673    0.001434673
    0.460153384    0.001467007    0.001467007    0.001467007
    0.470156719    0.001499371    0.001499371    0.001499371
    0.480160053    0.001531766    0.001531766    0.001531766
    0.490163388    0.001564193    0.001564193    0.001564193
    0.500166722    0.001596652    0.001596652    0.001596652
    0.510170057    0.001629144    0.001629144    0.001629144
    0.520173391    0.001661670    0.001661670    0.001661670
    0.530176726    0.001694230    0.001694230    0.001694230
    0.540180060    0.001726824    0.001726824    0.001726824
    0.550183394    0.001759455    0.001759455    0.001759455
    0.560186729    0.001792122    0.001792122    0.001792122
    0.570190063    0.001824826    0.001824826    0.001824826
    0.580193398    0.001857568    0.001857568    0.001857568
    0.590196732    0.001890349    0.001890349    0.001890349
    0.600200067    0.001923168    0.001923168    0.001923168
    0.610203401    0.001956028    0.001956028    0.001956028
    0.620206736    0.001988929    0.001988929    0.001988929
    0.630210070    0.002021871    0.002021871    0.002021871
    0.640213404    0.002054855    0.002054855    0.002054855
    0.650216739    0.002087882    0.002087882    0.002087882
    0.660220073    0.002120953    0.002120953    0.002120953
    0.670223408    0.002154068    0.002154068    0.002154068
    0.680226742    0.002187228    0.002187228    0.002187228
    0.690230077    0.002220435    0.002220435    0.002220435
    0.700233411    0.002253687    0.002253687    0.002253687
    0.710236746    0.002286988    0.002286988    0.002286988
    0.720240080    0.002320336    0.002320336    0.002320336
    0.730243414    0.002353733    0.002353733    0.002353733
    0.740246749    0.002387180    0.002387180    0.002387180
    0.750250083    0.002420677    0.002420677    0.002420677
    0.760253418    0.002454226    0.002454226    0.002454226
    0.770256752    0.002487826    0.002487826    0.002487826
    0.780260087    0.002521480    0.002521480    0.002521480
    0.790263421    0.002555187    0.002555187    0.002555187
    0.800266756    0.002588948    0.002588948    0.002588948
    0.810270090    0.002622764    0.002622764    0.002622764
    0.820273424    0.002656636    0.002656636    0.002656636
    0.830276759    0.002690565    0.002690565    0.002690565
    0.840280093    0.002724551    0.002724551    0.002724551
    0.850283428    0.002758596    0.002758596    0.002758596
    0.860286762    0.002792700    0.002792700    0.002792700
    0.870290097    0.002826864    0.002826863    0.002826864
    0.880293431    0.002861088    0.002861088    0.002861088
    0.890296766    0.002895374    0.002895374    0.002895374
    0.900300100    0.002929723    0.002929723    0.002929723
    0.910303434    0.002964135    0.002964134    0.002964135
    0.920306769    0.002998610    0.002998610    0.002998610
    0.930310103    0.003033151    0.003033151    0.003033151
    0.940313438    0.003067758    0.003067758    0.003067758
    0.950316772    0.003102431    0.003102431    0.003102431
    0.960320107    0.003137172    0.003137172    0.003137172
    0.970323441    0.003171981    0.003171981    0.003171981
    0.980326776    0.003206860    0.003206860    0.003206860
    0.990330110    0.003241808    0.003241808    0.003241808
    1.000333444    0.003276828    0.003276828    0.003276828
    1.010336779    0.003311919    0.003311919    0.003311919
    1.020340113    0.003347084    0.003347083    0.003347084
    1.030343448    0.003382321    0.003382321    0.003382321
    1.040346782    0.003417634    0.003417634    0.003417634
    1.050350117    0.003453022    0.003453022    0.003453022
    1.060353451    0.003488487    0.003488487    0.003488487
    1.070356786    0.003524028    0.003524028    0.003524028
    1.080360120    0.003559649    0.003559648    0.003559649
    1.090363454    0.003595348    0.003595348    0.003595348
    1.100366789    0.003631127    0.003631127    0.003631127
    1.110370123    0.003666988    0.003666988    0.003666988
    1.120373458    0.003702931    0.003702931    0.003702931
    1.130376792    0.003738956    0.003738956    0.003738956
    1.140380127    0.003775066    0.003775066    0.003775066
    1.150383461    0.003811261    0.003811260    0.003811261
    1.160386796    0.003847541    0.003847541    0.003847541
    1.170390130    0.003883909    0.003883909    0.003883909
    1.180393464    0.003920364    0.003920364    0.003920364
    1.190396799    0.003956909    0.003956909    0.003956909
    1.200400133    0.003993543    0.003993543    0.003993543
    1.210403468    0.004030268    0.004030268    0.004030268
    1.220406802    0.004067086    0.004067086    0.004067086
    1.230410137    0.004103996    0.004103996    0.004103996
    1.240413471    0.004141001    0.004141001    0.004141001
    1.250416806    0.004178100    0.004178100    0.004178100
    1.260420140    0.004215296    0.004215296    0.004215296
    1.270423474    0.004252590    0.004252589    0.004252590
    1.280426809    0.004289981    0.004289981    0.004289981
    1.290430143    0.004327472    0.004327472    0.004327472
    1.300433478    0.004365064    0.004365063    0.004365064
    1.310436812    0.004402757    0.004402757    0.004402757
    1.320440147    0.004440553    0.004440552    0.004440553
    1.330443481    0.004478452    0.004478452    0.004478452
    1.340446816    0.004516457    0.004516457    0.004516457
    1.350450150    0.004554568    0.004554568    0.004554568
    1.360453484    0.004592786    0.004592786    0.004592786
    1.370456819    0.004631113    0.004631113    0.004631113
    1.380460153    0.004669549    0.004669549    0.004669549
    1.390463488    0.004708096    0.004708096    0.004708096
    1.400466822    0.004746755    0.004746755    0.004746755
    1.410470157    0.004785527    0.004785527    0.004785527
    1.420473491    0.004824414    0.004824414    0.004824414
    1.430476826    0.004863416    0.004863416    0.004863416
    1.440480160    0.004902535    0.004902535    0.004902535
    1.450483494    0.004941772    0.004941772    0.004941772
    1.460486829    0.004981129    0.004981129    0.004981129
    1.470490163    0.005020606    0.005020606    0.005020606
    1.480493498    0.005060205    0.005060205    0.005060205
    1.490496832    0.005099927    0.005099927    0.005099927
    1.500500167    0.005139774    0.005139774    0.005139774
    1.510503501    0.005179746    0.005179746    0.005179746
    1.520506836    0.005219846    0.005219846    0.005219846
    1.530510170    0.005260074    0.005260074    0.005260074
    1.540513505    0.005300432    0.005300432    0.005300432
    1.550516839    0.005340921    0.005340921    0.005340921
    1.560520173    0.005381542    0.005381542    0.005381542
    1.570523508    0.005422298    0.005422298    0.005422298
    1.580526842    0.005463188    0.005463188    0.005463188
    1.590530177    0.005504216    0.005504216    0.005504216
    1.600533511    0.005545381    0.005545381    0.005545381
    1.610536846    0.005586686    0.005586686    0.005586686
    1.620540180    0.005628133    0.005628132    0.005628133
    1.630543515    0.005669721    0.005669721    0.005669721
    1.640546849    0.005711454    0.005711454    0.005711454
    1.650550183    0.005753332    0.005753332    0.005753332
    1.660553518    0.005795357    0.005795357    0.005795357
    1.670556852    0.005837531    0.005837531    0.005837531
    1.680560187    0.005879855    0.005879855    0.005879855
    1.690563521    0.005922330    0.005922330    0.005922330
    1.700566856    0.005964959    0.005964959    0.005964959
    1.710570190    0.006007742    0.006007742    0.006007742
    1.720573525    0.006050682    0.006050682    0.006050682
    1.730576859    0.006093780    0.006093780    0.006093780
    1.740580193    0.006137038    0.006137038    0.006137038
    1.750583528    0.006180457    0.006180457    0.006180457
    1.760586862    0.006224039    0.006224039    0.006224039
    1.770590197    0.006267785    0.006267785    0.006267785
    1.780593531    0.006311698    0.006311698    0.006311698
    1.790596866    0.006355780    0.006355780    0.006355780
    1.800600200    0.006400031    0.006400031    0.006400031
    1.810603535    0.006444454    0.006444454    0.006444454
    1.820606869    0.006489050    0.006489050    0.006489050
    1.830610203    0.006533821    0.006533821    0.006533821
    1.840613538    0.006578770    0.006578770    0.006578770
    1.850616872    0.006623898    0.006623897    0.006623898
    1.860620207    0.006669206    0.006669206    0.006669206
    1.870623541    0.006714697    0.006714697    0.006714697
    1.880626876    0.006760373    0.006760373    0.006760373
    1.890630210    0.006806235    0.006806235    0.006806235
    1.900633545    0.006852285    0.006852285    0.006852285
    1.910636879    0.006898527    0.006898527    0.006898527
    1.920640213    0.006944960    0.006944960    0.006944960
    1.930643548    0.006991588    0.006991588    0.006991588
    1.940646882    0.007038413    0.007038413    0.007038413
    1.950650217    0.007085436    0.007085436    0.007085436
    1.960653551    0.007132660    0.007132660    0.007132660
    1.970656886    0.007180087    0.007180087    0.007180087
    1.980660220    0.007227718    0.007227718    0.007227718
    1.990663555    0.007275557    0.007275557    0.007275557
    2.000666889    0.007323605    0.007323605    0.007323605
    2.010670223    0.007371865    0.007371865    0.007371865
    2.020673558    0.007420338    0.007420338    0.007420338
    2.030676892    0.007469027    0.007469027    0.007469027
    2.040680227    0.007517935    0.007517935    0.007517935
    2.050683561    0.007567064    0.007567063    0.007567064
    2.060686896    0.007616415    0.007616415    0.007616415
    2.070690230    0.007665992    0.007665992    0.007665992
    2.080693565    0.007715797    0.007715796    0.007715797
    2.090696899    0.007765832    0.007765831    0.007765832
    2.100700233    0.007816099    0.007816099    0.007816099
    2.110703568    0.007866602    0.007866602    0.007866602
    2.120706902    0.007917343    0.007917343    0.007917343
    2.130710237    0.007968324    0.007968324    0.007968324
    2.140713571    0.008019549    0.008019548    0.008019548
    2.150716906    0.008071018    0.008071018    0.008071018
    2.160720240    0.008122736    0.008122736    0.008122736
    2.170723575    0.008174706    0.008174705    0.008174706
    2.180726909    0.008226928    0.008226928    0.008226928
    2.190730243    0.008279408    0.008279408    0.008279408
    2.200733578    0.008332147    0.008332147    0.008332147
    2.210736912    0.008385148    0.008385148    0.008385148
    2.220740247    0.008438414    0.008438414    0.008438414
    2.230743581    0.008491948    0.008491948    0.008491948
    2.240746916    0.008545753    0.008545753    0.008545753
    2.250750250    0.008599832    0.008599832    0.008599832
    2.260753585    0.008654188    0.008654188    0.008654188
    2.270756919    0.008708825    0.008708824    0.008708825
    2.280760253    0.008763744    0.008763744    0.008763744
    2.290763588    0.008818950    0.008818950    0.008818950
    2.300766922    0.008874446    0.008874446    0.008874446
    2.310770257    0.008930235    0.008930235    0.008930235
    2.320773591    0.008986320    0.008986320    0.008986320
    2.330776926    0.009042704    0.009042704    0.009042704
    2.340780260    0.009099392    0.009099392    0.009099392
    2.350783595    0.009156386    0.009156386    0.009156386
    2.360786929    0.009213690    0.009213690    0.009213690
    2.370790263    0.009271308    0.009271308    0.009271308
    2.380793598    0.009329243    0.009329243    0.009329243
    2.390796932    0.009387499    0.009387498    0.009387499
    2.400800267    0.009446079    0.009446079    0.009446079
    2.410803601    0.009504987    0.009504987    0.009504987
    2.420806936    0.009564228    0.009564228    0.009564228
    2.430810270    0.009623805    0.009623805    0.009623805
    2.440813605    0.009683721    0.009683721    0.009683721
    2.450816939    0.009743982    0.009743982    0.009743982
    2.460820273    0.009804590    0.009804590    0.009804590
    2.470823608    0.009865551    0.009865551    0.009865551
    2.480826942    0.009926868    0.009926868    0.009926868
    2.490830277    0.009988546    0.009988546    0.009988546
    2.500833611    0.010050588    0.010050588    0.010050588
    2.510836946    0.010113000    0.010113000    0.010113000
    2.520840280    0.010175785    0.010175785    0.010175785
    2.530843615    0.010238949    0.010238948    0.010238949
    2.540846949    0.010302495    0.010302495    0.010302495
    2.550850283    0.010366429    0.010366429    0.010366429
    2.560853618    0.010430755    0.010430754    0.010430755
    2.570856952    0.010495478    0.010495477    0.010495477
