# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    20.206130047   20.206130039   20.206130046
    0.000000000    3.979154858    3.979151289    3.979154990
    0.010003334    3.979158025    3.979154456    3.979158157
    0.020006669    3.979167526    3.979163957    3.979167658
    0.030010003    3.979183361    3.979179792    3.979183493
    0.040013338    3.979205531    3.979201962    3.979205663
    0.050016672    3.979234035    3.979230466    3.979234167
    0.060020007    3.979268875    3.979265306    3.979269007
    0.070023341    3.979310051    3.979306482    3.979310183
    0.080026676    3.979357565    3.979353996    3.979357696
    0.090030010    3.979411416    3.979407847    3.979411548
    0.100033344    3.979471606    3.979468037    3.979471738
    0.110036679    3.979538137    3.979534568    3.979538269
    0.120040013    3.979611009    3.979607440    3.979611141
    0.130043348    3.979690224    3.979686655    3.979690356
    0.140046682    3.979775784    3.979772215    3.979775916
    0.150050017    3.979867691    3.979864122    3.979867823
    0.160053351    3.979965946    3.979962377    3.979966078
    0.170056686    3.980070551    3.980066982    3.980070683
    0.180060020    3.980181508    3.980177939    3.980181640
    0.190063354    3.980298821    3.980295252    3.980298953
    0.200066689    3.980422490    3.980418921    3.980422622
    0.210070023    3.980552519    3.980548950    3.980552651
    0.220073358    3.980688910    3.980685341    3.980689042
    0.230076692    3.980831666    3.980828097    3.980831797
    0.240080027    3.980980789    3.980977220    3.980980921
    0.250083361    3.981136284    3.981132715    3.981136416
    0.260086696    3.981298152    3.981294583    3.981298284
    0.270090030    3.981466398    3.981462829    3.981466530
    0.280093364    3.981641025    3.981637456    3.981641157
    0.290096699    3.981822036    3.981818467    3.981822168
    0.300100033    3.982009435    3.982005866    3.982009567
    0.310103368    3.982203225    3.982199656    3.982203357
    0.320106702    3.982403411    3.982399842    3.982403543
    0.330110037    3.982609998    3.982606428    3.982610129
    0.340113371    3.982822988    3.982819418    3.982823119
    0.350116706    3.983042386    3.983038817    3.983042518
    0.360120040    3.983268197    3.983264628    3.983268329
    0.370123374    3.983500425    3.983496856    3.983500557
    0.380126709    3.983739076    3.983735507    3.983739208
    0.390130043    3.983984154    3.983980585    3.983984286
    0.400133378    3.984235663    3.984232094    3.984235795
    0.410136712    3.984493610    3.984490041    3.984493742
    0.420140047    3.984758000    3.984754431    3.984758131
    0.430143381    3.985028837    3.985025268    3.985028969
    0.440146716    3.985306127    3.985302558    3.985306259
    0.450150050    3.985589877    3.985586308    3.985590009
    0.460153384    3.985880091    3.985876522    3.985880223
    0.470156719    3.986176777    3.986173208    3.986176909
    0.480160053    3.986479939    3.986476370    3.986480071
    0.490163388    3.986789585    3.986786016    3.986789717
    0.500166722    3.987105720    3.987102151    3.987105852
    0.510170057    3.987428351    3.987424782    3.987428483
    0.520173391    3.987757485    3.987753916    3.987757617
    0.530176726    3.988093129    3.988089559    3.988093260
    0.540180060    3.988435288    3.988431719    3.988435420
    0.550183394    3.988783972    3.988780403    3.988784104
    0.560186729    3.989139186    3.989135617    3.989139318
    0.570190063    3.989500938    3.989497369    3.989501070
    0.580193398    3.989869236    3.989865667    3.989869368
    0.590196732    3.990244088    3.990240518    3.990244219
    0.600200067    3.990625500    3.990621931    3.990625632
    0.610203401    3.991013481    3.991009912    3.991013613
    0.620206736    3.991408039    3.991404470    3.991408171
    0.630210070    3.991809182    3.991805613    3.991809314
    0.640213404    3.992216919    3.992213350    3.992217051
    0.650216739    3.992631258    3.992627689    3.992631390
    0.660220073    3.993052208    3.993048639    3.993052340
    0.670223408    3.993479777    3.993476208    3.993479909
    0.680226742    3.993913975    3.993910406    3.993914107
    0.690230077    3.994354810    3.994351241    3.994354942
    0.700233411    3.994802293    3.994798723    3.994802425
    0.710236746    3.995256431    3.995252862    3.995256563
    0.720240080    3.995717236    3.995713666    3.995717367
    0.730243414    3.996184715    3.996181146    3.996184847
    0.740246749    3.996658881    3.996655311    3.996659012
    0.750250083    3.997139741    3.997136172    3.997139873
