# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000    3.824567760    3.824567759    3.824567760
    0.010003334    3.824542897    3.824542896    3.824542897
    0.020006669    3.824501875    3.824501874    3.824501874
    0.030010003    3.824454418    3.824454417    3.824454417
    0.040013338    3.824400644    3.824400643    3.824400644
    0.050016672    3.824340556    3.824340555    3.824340556
    0.060020007    3.824274155    3.824274154    3.824274155
    0.070023341    3.824201442    3.824201441    3.824201441
    0.080026676    3.824122417    3.824122416    3.824122417
    0.090030010    3.824037084    3.824037083    3.824037084
    0.100033344    3.823945444    3.823945443    3.823945444
    0.110036679    3.823847498    3.823847497    3.823847498
    0.120040013    3.823743248    3.823743247    3.823743248
    0.130043348    3.823632698    3.823632697    3.823632697
    0.140046682    3.823515848    3.823515847    3.823515848
    0.150050017    3.823392701    3.823392700    3.823392701
    0.160053351    3.823263260    3.823263259    3.823263260
    0.170056686    3.823127527    3.823127526    3.823127527
    0.180060020    3.822985505    3.822985505    3.822985505
    0.190063354    3.822837198    3.822837197    3.822837197
    0.200066689    3.822682607    3.822682606    3.822682607
    0.210070023    3.822521736    3.822521735    3.822521736
    0.220073358    3.822354588    3.822354587    3.822354588
    0.230076692    3.822181167    3.822181166    3.822181167
    0.240080027    3.822001476    3.822001475    3.822001476
    0.250083361    3.821815519    3.821815518    3.821815519
    0.260086696    3.821623299    3.821623298    3.821623299
    0.270090030    3.821424821    3.821424820    3.821424821
    0.280093364    3.821220088    3.821220087    3.821220087
    0.290096699    3.821009104    3.821009103    3.821009104
    0.300100033    3.820791874    3.820791873    3.820791874
    0.310103368    3.820568402    3.820568401    3.820568401
    0.320106702    3.820338692    3.820338691    3.820338692
    0.330110037    3.820102749    3.820102748    3.820102749
    0.340113371    3.819860579    3.819860578    3.819860578
    0.350116706    3.819612185    3.819612184    3.819612184
    0.360120040    3.819357572    3.819357571    3.819357572
    0.370123374    3.819096746    3.819096745    3.819096746
    0.380126709    3.818829712    3.818829711    3.818829712
    0.390130043    3.818556476    3.818556475    3.818556475
    0.400133378    3.818277042    3.818277041    3.818277042
    0.410136712    3.817991416    3.817991415    3.817991416
    0.420140047    3.817699604    3.817699603    3.817699604
    0.430143381    3.817401612    3.817401611    3.817401612
    0.440146716    3.817097446    3.817097445    3.817097446
    0.450150050    3.816787111    3.816787110    3.816787111
    0.460153384    3.816470614    3.816470613    3.816470614
    0.470156719    3.816147962    3.816147961    3.816147962
    0.480160053    3.815819160    3.815819159    3.815819160
    0.490163388    3.815484215    3.815484214    3.815484215
    0.500166722    3.815143133    3.815143132    3.815143133
    0.510170057    3.814795923    3.814795922    3.814795922
    0.520173391    3.814442589    3.814442588    3.814442589
    0.530176726    3.814083140    3.814083139    3.814083139
    0.540180060    3.813717582    3.813717581    3.813717581
    0.550183394    3.813345922    3.813345921    3.813345922
    0.560186729    3.812968169    3.812968168    3.812968168
    0.570190063    3.812584328    3.812584327    3.812584328
    0.580193398    3.812194409    3.812194408    3.812194409
    0.590196732    3.811798418    3.811798417    3.811798418
    0.600200067    3.811396363    3.811396362    3.811396363
    0.610203401    3.810988253    3.810988252    3.810988253
    0.620206736    3.810574094    3.810574093    3.810574094
    0.630210070    3.810153896    3.810153895    3.810153896
    0.640213404    3.809727666    3.809727665    3.809727666
    0.650216739    3.809295413    3.809295412    3.809295413
    0.660220073    3.808857145    3.808857144    3.808857145
    0.670223408    3.808412871    3.808412870    3.808412871
    0.680226742    3.807962599    3.807962598    3.807962599
    0.690230077    3.807506338    3.807506337    3.807506338
    0.700233411    3.807044097    3.807044096    3.807044097
    0.710236746    3.806575885    3.806575884    3.806575885
    0.720240080    3.806101711    3.806101710    3.806101711
    0.730243414    3.805621584    3.805621583    3.805621584
    0.740246749    3.805135513    3.805135512    3.805135513
    0.750250083    3.804643508    3.804643507    3.804643508
    0.760253418    3.804145578    3.804145577    3.804145578
    0.770256752    3.803641733    3.803641732    3.803641733
    0.780260087    3.803131982    3.803131981    3.803131982
    0.790263421    3.802616336    3.802616335    3.802616336
    0.800266756    3.802094804    3.802094803    3.802094803
    0.810270090    3.801567395    3.801567394    3.801567395
    0.820273424    3.801034121    3.801034120    3.801034121
    0.830276759    3.800494992    3.800494991    3.800494991
    0.840280093    3.799950016    3.799950016    3.799950016
    0.850283428    3.799399206    3.799399205    3.799399206
    0.860286762    3.798842572    3.798842571    3.798842571
    0.870290097    3.798280123    3.798280122    3.798280123
    0.880293431    3.797711871    3.797711870    3.797711871
    0.890296766    3.797137826    3.797137825    3.797137826
    0.900300100    3.796558000    3.796557999    3.796558000
    0.910303434    3.795972403    3.795972402    3.795972403
    0.920306769    3.795381046    3.795381045    3.795381046
    0.930310103    3.794783941    3.794783940    3.794783940
    0.940313438    3.794181098    3.794181097    3.794181097
    0.950316772    3.793572529    3.793572528    3.793572528
    0.960320107    3.792958245    3.792958244    3.792958245
    0.970323441    3.792338258    3.792338257    3.792338258
    0.980326776    3.791712579    3.791712578    3.791712579
    0.990330110    3.791081221    3.791081220    3.791081220
    1.000333444    3.790444194    3.790444193    3.790444194
    1.010336779    3.789801510    3.789801510    3.789801510
    1.020340113    3.789153183    3.789153182    3.789153183
    1.030343448    3.788499223    3.788499222    3.788499222
    1.040346782    3.787839642    3.787839641    3.787839642
    1.050350117    3.787174453    3.787174452    3.787174453
    1.060353451    3.786503668    3.786503667    3.786503668
    1.070356786    3.785827300    3.785827299    3.785827300
    1.080360120    3.785145360    3.785145359    3.785145360
    1.090363454    3.784457862    3.784457861    3.784457862
    1.100366789    3.783764818    3.783764817    3.783764818
    1.110370123    3.783066240    3.783066239    3.783066240
    1.120373458    3.782362141    3.782362140    3.782362141
    1.130376792    3.781652535    3.781652534    3.781652535
    1.140380127    3.780937434    3.780937433    3.780937433
    1.150383461    3.780216850    3.780216849    3.780216850
    1.160386796    3.779490798    3.779490797    3.779490798
    1.170390130    3.778759290    3.778759289    3.778759290
    1.180393464    3.778022339    3.778022338    3.778022339
    1.190396799    3.777279959    3.777279958    3.777279959
    1.200400133    3.776532163    3.776532162    3.776532163
    1.210403468    3.775778964    3.775778963    3.775778964
    1.220406802    3.775020376    3.775020375    3.775020376
    1.230410137    3.774256413    3.774256412    3.774256413
    1.240413471    3.773487087    3.773487086    3.773487087
    1.250416806    3.772712414    3.772712413    3.772712414
    1.260420140    3.771932406    3.771932405    3.771932406
    1.270423474    3.771147077    3.771147076    3.771147077
    1.280426809    3.770356442    3.770356441    3.770356442
    1.290430143    3.769560514    3.769560513    3.769560514
    1.300433478    3.768759307    3.768759306    3.768759307
    1.310436812    3.767952836    3.767952835    3.767952836
    1.320440147    3.767141114    3.767141113    3.767141114
    1.330443481    3.766324156    3.766324155    3.766324156
    1.340446816    3.765501976    3.765501975    3.765501976
    1.350450150    3.764674589    3.764674588    3.764674588
    1.360453484    3.763842008    3.763842007    3.763842008
    1.370456819    3.763004249    3.763004248    3.763004248
    1.380460153    3.762161325    3.762161324    3.762161325
    1.390463488    3.761313252    3.761313251    3.761313252
    1.400466822    3.760460044    3.760460043    3.760460044
    1.410470157    3.759601716    3.759601715    3.759601716
    1.420473491    3.758738282    3.758738281    3.758738282
    1.430476826    3.757869758    3.757869757    3.757869758
    1.440480160    3.756996158    3.756996157    3.756996158
    1.450483494    3.756117497    3.756117496    3.756117497
    1.460486829    3.755233790    3.755233789    3.755233790
    1.470490163    3.754345053    3.754345052    3.754345053
    1.480493498    3.753451300    3.753451299    3.753451299
    1.490496832    3.752552546    3.752552545    3.752552546
    1.500500167    3.751648807    3.751648806    3.751648807
    1.510503501    3.750740098    3.750740097    3.750740097
    1.520506836    3.749826433    3.749826432    3.749826433
