#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.702693348366467E+00  -.137590990389709E-10  0.142309586724376E+01  -.278649527918194E-10
     0.500000000000000E-01  0.702691495156853E+00  0.202071436917192E-04  0.142309961920036E+01  0.409237605563926E-04
     0.100000000000000E+00  0.702685935200315E+00  0.404178922007328E-04  0.142311087585164E+01  0.818561167777820E-04
     0.150000000000000E+00  0.702676667513533E+00  0.606358252491173E-04  0.142312963954267E+01  0.122805614758066E-03
     0.200000000000000E+00  0.702663690456908E+00  0.808645411672354E-04  0.142315591418376E+01  0.163780840781846E-03
     0.250000000000000E+00  0.702647001733470E+00  0.101107645568514E-03  0.142318970525323E+01  0.204790399646627E-03
     0.300000000000000E+00  0.702626598387332E+00  0.121368753794486E-03  0.142323101980134E+01  0.245842920879181E-03
     0.350000000000000E+00  0.702602476801712E+00  0.141651493374776E-03  0.142327986645532E+01  0.286947064990987E-03
     0.400000000000000E+00  0.702574632696501E+00  0.161959506505829E-03  0.142333625542555E+01  0.328111529782712E-03
     0.450000000000000E+00  0.702543061125387E+00  0.182296452552252E-03  0.142340019851286E+01  0.369345056707853E-03
     0.500000000000000E+00  0.702507756472517E+00  0.202666010574700E-03  0.142347170911702E+01  0.410656437305803E-03
     0.550000000000000E+00  0.702468712448705E+00  0.223071881888296E-03  0.142355080224640E+01  0.452054519714834E-03
     0.600000000000000E+00  0.702425922087168E+00  0.243517792655670E-03  0.142363749452876E+01  0.493548215275675E-03
     0.650000000000000E+00  0.702379377738802E+00  0.264007496518811E-03  0.142373180422331E+01  0.535146505236640E-03
     0.700000000000000E+00  0.702329071066964E+00  0.284544777274005E-03  0.142383375123397E+01  0.576858447571581E-03
     0.750000000000000E+00  0.702274993041771E+00  0.305133451594294E-03  0.142394335712383E+01  0.618693183922208E-03
     0.800000000000000E+00  0.702217133933911E+00  0.325777371803979E-03  0.142406064513096E+01  0.660659946676699E-03
     0.850000000000000E+00  0.702155483307938E+00  0.346480428709886E-03  0.142418564018542E+01  0.702768066196956E-03
     0.900000000000000E+00  0.702090030015046E+00  0.367246554494247E-03  0.142431836892767E+01  0.745026978207258E-03
     0.950000000000000E+00  0.702020762185335E+00  0.388079725674236E-03  0.142445885972825E+01  0.787446231357519E-03
     0.100000000000000E+01  0.701947667219514E+00  0.408983966133397E-03  0.142460714270893E+01  0.830035494974955E-03
     0.105000000000000E+01  0.701870731780062E+00  0.429963350230415E-03  0.142476324976518E+01  0.872804567018435E-03
