#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.610579418029367E+00  -.496805222578583E-11  0.163778858322392E+01  -.133260620584182E-10
     0.500000000000000E-01  0.610576517501699E+00  0.316257647787014E-04  0.163779635910143E+01  0.848322215539699E-04
     0.100000000000000E+00  0.610567815416474E+00  0.632570344813585E-04  0.163781968852089E+01  0.169684044745046E-03
     0.150000000000000E+00  0.610553310266714E+00  0.948993074490970E-04  0.163785857684428E+01  0.254575058440330E-03
     0.200000000000000E+00  0.610532999539777E+00  0.126558093701554E-03  0.163791303301244E+01  0.339524892615537E-03
     0.250000000000000E+00  0.610506879715830E+00  0.158238913335450E-03  0.163798306955136E+01  0.424553218971615E-03
     0.300000000000000E+00  0.610474946265728E+00  0.189947299904925E-03  0.163806870258100E+01  0.509679764939261E-03
     0.350000000000000E+00  0.610437193648253E+00  0.221688803820195E-03  0.163816995182662E+01  0.594924327766133E-03
     0.400000000000000E+00  0.610393615306758E+00  0.253468995769211E-03  0.163828684063277E+01  0.680306788707828E-03
     0.450000000000000E+00  0.610344203665177E+00  0.285293470167020E-03  0.163841939597971E+01  0.765847127343946E-03
     0.500000000000000E+00  0.610288950123411E+00  0.317167848637643E-03  0.163856764850257E+01  0.851565436040928E-03
     0.550000000000000E+00  0.610227845052075E+00  0.349097783533311E-03  0.163873163251309E+01  0.937481934583673E-03
     0.600000000000000E+00  0.610160877786610E+00  0.381088961496048E-03  0.163891138602399E+01  0.102361698499844E-02
     0.650000000000000E+00  0.610088036620740E+00  0.413147107066637E-03  0.163910695077608E+01  0.110999110658997E-02
     0.700000000000000E+00  0.610009308799276E+00  0.445277986346183E-03  0.163931837226813E+01  0.119662499121640E-02
     0.750000000000000E+00  0.609924680510249E+00  0.477487410715552E-03  0.163954569978946E+01  0.128353951882610E-02
     0.800000000000000E+00  0.609834136876362E+00  0.509781240618173E-03  0.163978898645544E+01  0.137075577328127E-02
     0.850000000000000E+00  0.609737661945756E+00  0.542165389411819E-03  0.164004828924583E+01  0.145829505849396E-02
     0.900000000000000E+00  0.609635238682063E+00  0.574645827295129E-03  0.164032366904607E+01  0.154617891490086E-02
     0.950000000000000E+00  0.609526848953758E+00  0.607228585314902E-03  0.164061519069158E+01  0.163442913630432E-02
     0.100000000000000E+01  0.609412473522758E+00  0.639919759460310E-03  0.164092292301518E+01  0.172306778710786E-02
     0.105000000000000E+01  0.609292092032288E+00  0.672725514850477E-03  0.164124693889760E+01  0.181211721997559E-02
