#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.105437149183716E+00  0.136173132545154E-10  0.948432319862498E+01  0.122490982545164E-08
     0.500000000000000E-01  0.105426621577788E+00  0.114872031507021E-03  0.948525901545908E+01  0.103350648647328E-01
     0.100000000000000E+00  0.105395036181338E+00  0.229772480472147E-03  0.948806778181188E+01  0.206850051776993E-01
     0.150000000000000E+00  0.105342385255215E+00  0.344729827866634E-03  0.949275344990603E+01  0.310647538010301E-01
     0.200000000000000E+00  0.105268655890133E+00  0.459772613739574E-03  0.949932262244839E+01  0.414893526847810E-01
     0.250000000000000E+00  0.105173829990564E+00  0.574929487519265E-03  0.950778457624546E+01  0.519740102110460E-01
     0.300000000000000E+00  0.105057884252116E+00  0.690229245103721E-03  0.951815129548319E+01  0.625341584806575E-01
     0.350000000000000E+00  0.104920790132308E+00  0.805700866497639E-03  0.953043751489552E+01  0.731855121770425E-01
     0.400000000000000E+00  0.104762513814640E+00  0.921373554139733E-03  0.954466077311118E+01  0.839441294348799E-01
     0.450000000000000E+00  0.104583016165822E+00  0.103727677206940E-02  0.956084147654084E+01  0.948264751642766E-01
     0.500000000000000E+00  0.104382252686011E+00  0.115344028608773E-02  0.957900297423907E+01  0.105849487309658E+00
     0.550000000000000E+00  0.104160173451871E+00  0.126989420507520E-02  0.959917164425725E+01  0.117030646557026E+00
     0.600000000000000E+00  0.103916723052244E+00  0.138666902363717E-02  0.962137699208763E+01  0.128388050044225E+00
     0.650000000000000E+00  0.103651840516197E+00  0.150379566625789E-02  0.964565176188892E+01  0.139940489677022E+00
     0.700000000000000E+00  0.103365459233175E+00  0.162130553315563E-02  0.967203206128706E+01  0.151707535710251E+00
     0.750000000000000E+00  0.103057506864929E+00  0.173923054804459E-02  0.970055750065020E+01  0.163709626318695E+00
     0.800000000000000E+00  0.102727905248926E+00  0.185760320802379E-02  0.973127134785583E+01  0.175968163958215E+00
     0.850000000000000E+00  0.102376570292809E+00  0.197645663583087E-02  0.976422069970294E+01  0.188505619405387E+00
     0.900000000000000E+00  0.102003411859530E+00  0.209582463471701E-02  0.979945667126085E+01  0.201345644464849E+00
     0.950000000000000E+00  0.101608333642678E+00  0.221574174622157E-02  0.983703460461154E+01  0.214513194450311E+00
     0.100000000000000E+01  0.101191233031464E+00  0.233624331114886E-02  0.987701429862184E+01  0.228034661679655E+00
     0.105000000000000E+01  0.100752000964845E+00  0.245736553407756E-02  0.991946026157435E+01  0.241938021379348E+00
     0.110000000000000E+01  0.100290521774140E+00  0.257914555176345E-02  0.996444198871779E+01  0.256252991572660E+00
     0.115000000000000E+01  0.998066730134497E-01  0.270162150583201E-02  0.100120342670425E+02  0.271011208732748E+00
     0.120000000000000E+01  0.993003252771519E-01  0.282483262019581E-02  0.100623175098685E+02  0.286246421220778E+00
     0.125000000000000E+01  0.987713420036299E-01  0.294881928367681E-02  0.101153781241534E+02  0.301994702806508E+00
     0.130000000000000E+01  0.982195792643430E-01  0.307362313836316E-02  0.101713089137828E+02  0.318294688889915E+00
     0.135000000000000E+01  0.976448855372398E-01  0.319928717428696E-02  0.102302095225111E+02  0.335187838416338E+00
     0.140000000000000E+01  0.970471014634200E-01  0.332585583107351E-02  0.102921869206831E+02  0.352718724912716E+00
     0.145000000000000E+01  0.964260595858484E-01  0.345337510728475E-02  0.103573559403845E+02  0.370935360580275E+00
     0.150000000000000E+01  0.957815840687917E-01  0.358189267826233E-02  0.104258398642661E+02  0.389889557973161E+00
     0.155000000000000E+01  0.951134903965408E-01  0.371145802336863E-02  0.104977710739607E+02  0.409637334488520E+00
     0.160000000000000E+01  0.944215850497770E-01  0.384212256363086E-02  0.105732917647901E+02  0.430239365712155E+00
     0.165000000000000E+01  0.937056651578796E-01  0.397393981091388E-02  0.106525547343338E+02  0.451761494626650E+00
     0.170000000000000E+01  0.929655181251482E-01  0.410696552988677E-02  0.107357242534575E+02  0.474275304828233E+00
     0.175000000000000E+01  0.922009212288181E-01  0.424125791420523E-02  0.108229770295545E+02  0.497858767245291E+00
     0.180000000000000E+01  0.914116411865070E-01  0.437687777851434E-02  0.109145032730886E+02  0.522596971451761E+00
     0.185000000000000E+01  0.905974336903893E-01  0.451388876808418E-02  0.110105078800792E+02  0.548582954575058E+00
     0.190000000000000E+01  0.897580429052016E-01  0.465235758813111E-02  0.111112117449361E+02  0.575918643073367E+00
     0.195000000000000E+01  0.888932009268268E-01  0.479235425515402E-02  0.112168532201085E+02  0.604715925384145E+00
     0.200000000000000E+01  0.880026271977981E-01  0.493395237293563E-02  0.113276897413926E+02  0.635097876723628E+00
     0.205000000000000E+01  0.870860278757215E-01  0.507722943622979E-02  0.114439996404888E+02  0.667200161268250E+00
     0.210000000000000E+01  0.861430951500778E-01  0.522226716558777E-02  0.115660841696002E+02  0.701172641731726E+00
     0.215000000000000E+01  0.851735065024189E-01  0.536915187727884E-02  0.116942697665639E+02  0.737181232156604E+00
     0.220000000000000E+01  0.841769239042509E-01  0.551797489284888E-02  0.118289105933330E+02  0.775410036817339E+00
     0.225000000000000E+01  0.831529929463888E-01  0.566883299354813E-02  0.119703913856189E+02  0.816063826785293E+00
     0.230000000000000E+01  0.821013418926193E-01  0.582182892566964E-02  0.121191306573616E+02  0.859370916339926E+00
     0.235000000000000E+01  0.810215806497215E-01  0.597707196379248E-02  0.122755843104711E+02  0.905586514517594E+00
     0.240000000000000E+01  0.799132996449012E-01  0.613467854005141E-02  0.124402497081702E+02  0.954996643321079E+00
     0.245000000000000E+01  0.787760686004639E-01  0.629477294889269E-02  0.126136702794494E+02  0.100792273430185E+01
     0.250000000000000E+01  0.776094351942962E-01  0.645748813836592E-02  0.127964407327464E+02  0.106472704044476E+01
     0.255000000000000E+01  0.764129235931956E-01  0.662296660090296E-02  0.129892129692209E+02  0.112581903193697E+01
     0.260000000000000E+01  0.751860328443102E-01  0.679136137881252E-02  0.131927028000757E+02  0.119166298432204E+01
     0.265000000000000E+01  0.739282351079998E-01  0.696283720245847E-02  0.134076975883888E+02  0.126278701813138E+01
     0.270000000000000E+01  0.726389737130915E-01  0.713757178239820E-02  0.136350649539804E+02  0.133979391354145E+01
     0.275000000000000E+01  0.713176610128168E-01  0.731575728077019E-02  0.138757626998139E+02  0.142337410615808E+01
     0.280000000000000E+01  0.699636760167012E-01  0.749760199210209E-02  0.141308501399508E+02  0.151432137633963E+01
     0.285000000000000E+01  0.685763617700654E-01  0.768333226968395E-02  0.144015010313087E+02  0.161355188215951E+01
     0.290000000000000E+01  0.671550224487661E-01  0.787319474098706E-02  0.146890183327018E+02  0.172212736546282E+01
     0.295000000000000E+01  0.656989201320434E-01  0.806745886466091E-02  0.149948510318760E+02  0.184128359550276E+01
     0.300000000000000E+01  0.642072712108938E-01  0.826641989286683E-02  0.153206132892009E+02  0.197246542449671E+01
     0.305000000000000E+01  0.626792423832687E-01  0.847040231669872E-02  0.156681061363972E+02  0.211737024044577E+01
     0.310000000000000E+01  0.611139461800910E-01  0.867976388996982E-02  0.160393419253082E+02  0.227800215112802E+01
     0.315000000000000E+01  0.595104359582550E-01  0.889490034872490E-02  0.164365716203494E+02  0.245673996978017E+01
     0.320000000000000E+01  0.578677002875257E-01  0.911625097181162E-02  0.168623148280658E+02  0.265642306804243E+01
     0.325000000000000E+01  0.561846566484490E-01  0.934430516348274E-02  0.173193920902578E+02  0.288046051344599E+01
     0.330000000000000E+01  0.544601443476173E-01  0.957961028468917E-02  0.178109583211804E+02  0.313297075425793E+01
     0.335000000000000E+01  0.526929165456371E-01  0.982278101864885E-02  0.183405351574353E+02  0.341896164468873E+01
     0.340000000000000E+01  0.508816312827265E-01  0.100745106327586E-01  0.189120380987444E+02  0.374456408156901E+01
